"Market";"Distributor";"Release date";"2009";"2010";"2011";"2014";"2018";"2020";"2018-2020";"Total since 2008"
"AT";"Luna Film";"11/09/2009";"32 695";"2 586";"61";"";"";"";"";"35 342"
"BE";"Alternative Films (BE)";"04/02/2009";"127 397";"58";"";"";"";"";"";"127 455"
"CH";"Pathé Films (CH)";"04/02/2009";"21 605";"23";"";"";"";"";"";"21 628"
"DE";"DCM Film Distribution (DE)";"27/08/2009";"147 109";"5 015";"1 668";"460";"166";"3";"169";"154 421"
"ES";"Alta Classics";"22/06/2009";"99 139";"370";"";"";"";"";"";"99 509"
"FR";"Pathé Distribution (FR)";"04/02/2009";"3 649 758";"";"";"";"";"";"";"3 649 758"
"LU";"Alternative Film (LU)";"24/02/2009";"";"72";"";"";"";"";"";"72"
"SE";"Folkets Bio Stockholm";"20/10/2009";"71";"";"";"";"";"";"";"71"
"EUR EU";"";"";"4 056 169";"8 101";"1 729";"460";"166";"3";"169";"4 066 628"
"EUR OBS";"";"";"4 077 774";"8 124";"1 729";"460";"166";"3";"169";"4 088 256"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2014, 2011, 2010, 2009"
" - film_id : 31699"
