"Market";"Distributor";"Release date";"2001";"2002";"2003";"Total since 2000"
"BE";"";"";"42 608";"";"";"42 608"
"CH";"";"";"36 814";"";"";"36 814"
"ES";"Sherlock Media";"16/11/2001";"";"26 972";"";"26 972"
"FR";"";"";"2 121 519";"1 288";"507";"2 123 314"
"IT";"";"";"28 465";"70 000";"3 000";"101 465"
"LU";"";"";"2 786";"";"";"2 786"
"PT";"";"";"";"1 274";"";"1 274"
"EUR EU";"";"";"2 195 378";"99 534";"3 507";"2 298 419"
"EUR OBS";"";"";"2 232 192";"99 534";"3 507";"2 335 233"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2003, 2002, 2001"
" - film_id : 17195"
