"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"Total since 2005"
"AT";"UIP (AT)";"29/07/2005";"29 411";"";"";"";"29 411"
"BE";"Les Films de l'Élysée (BE)";"09/02/2005";"40 974";"";"";"";"40 974"
"BG";"Aleksandra";"09/12/2005";"10 613";"";"";"";"10 613"
"CH";"Monopole Pathé Films";"02/02/2005";"18 377";"";"";"";"18 377"
"CZ";"35 mm";"01/09/2005";"22 212";"";"5";"";"22 217"
"DE";"UIP (DE)";"12/05/2005";"383 042";"";"";"";"383 042"
"ES";"";"";"467 823";"";"";"";"467 823"
"FI";"Nordisk Film Theatrical Dist.";"02/09/2005";"4 274";"";"";"";"4 274"
"FR";"EuropaCorp Dist/ARP";"02/02/2005";"758 111";"";"";"";"758 111"
"GB";"UIP (GB)";"19/08/2005";"310 798";"";"";"";"310 798"
"GR";"Prooptiki (GR)";"22/09/2005";"12 106";"271";"";"61";"12 438"
"IS";"Myndform";"01/04/2005";"4 275";"";"";"";"4 275"
"IT";"01 Distribution";"10/06/2005";"79 530";"93";"";"";"79 623"
"LU";"Les Films de l'Élysée (LU)";"04/02/2005";"3 020";"";"";"";"3 020"
"NL";"Moonlight Films";"23/06/2005";"30 055";"";"";"";"30 055"
"NO";"Columbia TriStar Nordisk";"12/08/2005";"4 277";"";"";"";"4 277"
"PL";"Monolith";"14/07/2005";"37 463";"";"";"";"37 463"
"PT";"ZON Lusomundo Audiovisuais";"12/05/2005";"52 269";"";"";"";"52 269"
"RO";"Prooptiki (RO)";"20/01/2006";"";"8 238";"";"";"8 238"
"SK";"Saturn Entertainment";"17/11/2005";"";"740";"";"";"740"
"TR";"Umut Sanat";"17/06/2005";"57 598";"";"";"";"57 598"
"EUR EU";"";"";"2 241 701";"9 342";"5";"61";"2 251 109"
"EUR OBS";"";"";"2 326 228";"9 342";"5";"61";"2 335 636"
"US_CA";"";"";"3 828 021";"";"";"";"3 828 021"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007, 2006, 2005"
" - film_id : 23766"
