"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2010";"2020";"2010-2020";"Total since 2005"
"BE";"Les Films de l'Élysée (BE)";"23/11/2005";"99 709";"36 690";"";"";"";"";"";"136 399"
"CH";"Pathé Films (CH)";"23/11/2005";"54 925";"24 380";"";"";"";"53";"53";"79 358"
"EE";"MTÜ Otaku (EE)";"26/09/2008";"";"";"";"504";"";"";"";"504"
"ES";"Alta Classics";"17/11/2006";"";"24 452";"1 510";"";"273";"";"273";"26 235"
"FR";"Gaumont Columbia TriStar";"23/11/2005";"2 240 000";"308 517";"";"";"";"";"";"2 548 517"
"GR";"Odeon (GR)";"15/06/2006";"";"3 902";"";"";"";"";"";"3 902"
"LU";"Les Films de l'Élysée (LU)";"16/12/2005";"3 760";"";"";"";"";"";"";"3 760"
"PT";"ZON Lusomundo Audiovisuais";"19/10/2006";"";"7 297";"";"";"";"";"";"7 297"
"RO";"Glob-Com";"";"";"2 400";"";"";"";"";"";"2 400"
"EUR EU";"";"";"2 343 469";"383 258";"1 510";"504";"273";"";"273";"2 729 014"
"EUR OBS";"";"";"2 398 394";"407 638";"1 510";"504";"273";"53";"326";"2 808 372"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2010, 2008, 2007, 2006, 2005"
" - film_id : 23727"
