"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Filmladen";"30/11/2012";"8 386";"2 107";"77";"363";"";"";"";"";"";"";"10 933"
"BE";"Cinemien (BE)";"10/10/2012";"56 737";"5 664";"2 068";"";"";"";"";"";"";"";"64 469"
"BG";"Art Fest";"15/03/2013";"";"1 546";"262";"174";"31";"";"";"";"";"31";"2 013"
"CH";"Filmcoopi Zürich";"10/10/2012";"42 588";"1 850";"796";"47";"75";"37";"";"";"";"112";"45 393"
"DE";"LEONINE Distribution GmbH";"29/11/2012";"47 384";"32 476";"584";"76";"76";"17";"124";"3";"63";"283";"80 803"
"DK";"Camera Film";"15/05/2014";"";"";"38 355";"";"";"";"";"";"";"";"38 355"
"EE";"Acme (EE)";"04/01/2013";"940";"2 226";"";"";"";"";"";"";"";"";"3 166"
"ES";"Golem Distribucion";"09/11/2012";"210 621";"25 607";"46";"715";"";"589";"";"";"";"589";"237 578"
"FI";"Cinema Mondo";"15/03/2013";"";"4 352";"";"";"";"";"";"";"";"";"4 352"
"FR";"Mars Films (FR)";"10/10/2012";"1 171 814";"";"";"";"";"";"";"";"";"";"1 171 814"
"GB";"Entertainment One Films (GB)";"29/03/2013";"";"129 633";"139";"";"";"";"";"";"";"";"129 772"
"GR";"Spentzos Film";"13/12/2012";"2 883";"3 259";"459";"";"";"";"";"";"";"";"6 601"
"HR";"Continental Film (HR)";"10/10/2013";"";"2 086";"";"";"";"";"";"";"";"";"2 086"
"HU";"Vertigo (HU)";"14/03/2013";"";"6 396";"191";"144";"";"";"";"";"";"";"6 731"
"IT";"Bim Distribuzione";"18/04/2013";"";"148 879";"3 784";"";"";"";"";"330";"";"330";"152 993"
"LT";"Acme (LT)";"11/01/2013";"";"1 881";"";"";"";"";"";"";"";"";"1 881"
"LV";"Acme (LV)";"11/01/2013";"";"2 841";"26";"";"";"";"";"";"";"";"2 867"
"ME";"";"";"";"38";"";"";"";"";"";"";"";"";"38"
"NL";"ABC Film Distribution/Cinemien";"11/10/2012";"53 559";"2 720";"351";"3";"";"";"";"";"";"";"56 633"
"NO";"Arthaus (NO)";"14/06/2013";"";"15 505";"11";"";"";"";"";"";"";"";"15 516"
"PL";"Kino Swiat";"24/05/2013";"";"37 591";"5 630";"";"";"";"";"";"";"";"43 221"
"PT";"Leopardo Filmes";"18/07/2013";"";"10 653";"108";"";"";"";"";"";"";"";"10 761"
"RO";"IF-Independenta Film";"03/05/2013";"";"1 868";"27";"";"";"";"";"";"";"";"1 895"
"RU";"Paradise";"08/11/2012";"29 918";"";"";"";"";"";"";"";"";"";"29 918"
"SE";"TriArt Film";"22/03/2013";"";"15 246";"65";"";"";"";"";"";"";"";"15 311"
"SI";"Continental Film (SI)";"03/09/2013";"";"2 180";"511";"81";"";"";"";"";"";"";"2 772"
"TR";"M3 Film";"24/05/2013";"";"3 070";"758";"";"";"";"";"";"";"";"3 828"
"EUR EU";"";"";"1 552 324";"439 211";"52 683";"1 556";"107";"606";"124";"333";"63";"1 233";"2 047 007"
"EUR OBS";"";"";"1 624 830";"459 674";"54 248";"1 603";"182";"643";"124";"333";"63";"1 345";"2 141 700"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 39132"
