"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"Total since 2012"
"AT";"Constantin Film (AT)";"22/03/2013";"";"56 555";"131";"204";"56 890"
"BE";"Belga Films (BE)";"31/10/2012";"93 228";"";"";"";"93 228"
"CH";"Pathé Films (CH)";"31/10/2012";"21 935";"10 964";"";"";"32 899"
"DE";"Universum Film";"21/03/2013";"";"208 818";"16";"";"208 834"
"EE";"Estinfilm";"28/12/2012";"738";"3 436";"";"";"4 174"
"ES";"A Contracorriente Films";"13/07/2013";"";"108 040";"";"";"108 040"
"FR";"Universal Pictures";"31/10/2012";"1 203 215";"";"";"";"1 203 215"
"GR";"Feelgood";"27/06/2013";"";"7 175";"";"";"7 175"
"HR";"Blitz Film & Video Distribution (HR)";"06/12/2012";"8 999";"2 926";"";"";"11 925"
"IT";"Medusa Film";"19/09/2013";"";"104 704";"1 017";"";"105 721"
"LU";"Belga Film (LU)";"31/10/2012";"4 807";"";"";"";"4 807"
"LV";"Cascade Film (LV)";"";"506";"";"";"";"506"
"ME";"";"";"";"16";"";"";"16"
"PL";"Monolith";"11/01/2013";"";"66 843";"125";"";"66 968"
"PT";"NOS Lusomundo Audiovisuais (PT)";"13/02/2014";"";"";"528";"";"528"
"RU";"Cascade Film (RU)";"06/12/2012";"99 757";"1 303";"";"";"101 060"
"SI";"Blitz Film & Video Distribution (SI)";"29/11/2012";"3 712";"695";"";"";"4 407"
"EUR EU";"";"";"1 315 205";"559 192";"1 817";"204";"1 876 418"
"EUR OBS";"";"";"1 436 897";"571 475";"1 817";"204";"2 010 393"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012"
" - film_id : 39148"
