"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Alamode";"20/12/2013";"4 674";"5 989";"61";"30";"";"";"";"";"";"10 754"
"BE";"Cineart (BE)";"09/10/2013";"54 341";"4 378";"168";"";"103";"";"";"32";"135";"59 022"
"CH";"Frenetic Films (CH)";"09/10/2013";"27 850";"18 934";"124";"105";"";"8";"";"3";"11";"47 024"
"CZ";"Film Europe (CZ)";"28/11/2013";"7 000";"3 704";"93";"36";"280";"13";"62";"11";"366";"11 199"
"DE";"Alamode Film (DE)";"19/12/2013";"9 700";"123 190";"460";"86";"218";"39";"32";"";"289";"133 725"
"DK";"Camera Film";"05/12/2013";"35 602";"22 166";"";"";"";"";"";"";"";"57 768"
"EE";"VSI Kinoteka";"09/05/2014";"";"117";"23";"";"";"";"";"";"";"140"
"ES";"Vertigo Films (ES)";"25/10/2013";"113 575";"12 325";"394";"";"";"";"";"";"";"126 294"
"FI";"Cinema Mondo";"13/12/2013";"6 009";"5 261";"";"";"";"";"";"";"";"11 270"
"FR";"Wild Bunch Distribution";"09/10/2013";"986 178";"";"";"";"";"";"";"";"";"986 178"
"GB";"Curzon Artificial Eye (GB)";"22/11/2013";"90 754";"16 541";"47";"";"93";"";"";"";"93";"107 435"
"GR";"Strada Films (GR)";"31/10/2013";"38 819";"11 254";"376";"";"";"";"";"";"";"50 449"
"HR";"Pa-Dora";"28/11/2013";"1 039";"";"";"";"";"";"";"";"";"1 039"
"HU";"Vertigo (HU)";"10/10/2013";"7 373";"792";"19";"";"";"";"";"";"";"8 184"
"IE";"Curzon Film World (IE)";"22/11/2013";"5 326";"1 657";"";"";"";"";"";"";"";"6 983"
"IT";"Lucky Red";"24/10/2013";"249 508";"23 361";"1 381";"36";"13";"";"";"";"13";"274 299"
"LT";"Visos Muzos";"01/11/2013";"812";"";"";"";"";"";"";"";"";"812"
"LU";"Cineart (LU)";"09/10/2013";"3 580";"152";"";"";"";"";"";"";"";"3 732"
"LV";"Rijafilms";"";"";"625";"";"";"";"";"";"";"";"625"
"ME";"";"";"";"34";"";"";"";"";"";"";"";"34"
"MK";"MCF (MK)";"";"";"168";"";"";"";"";"";"";"";"168"
"NL";"Cinéart Nederland";"10/10/2013";"60 023";"6 954";"128";"135";"61";"48";"26";"";"135";"67 375"
"NO";"Arthaus (NO)";"15/11/2013";"10 351";"2 583";"39";"8";"42";"";"12";"5";"59";"13 040"
"PL";"Gutek Film";"18/10/2013";"25 941";"4 247";"82";"33";"";"";"";"";"";"30 303"
"PT";"Leopardo Filmes";"28/11/2013";"11 239";"2 985";"24";"";"";"";"";"";"";"14 248"
"RO";"IF-Independenta Film";"01/11/2013";"6 399";"284";"46";"";"";"28";"";"";"28";"6 757"
"RU";"Kino bez Granits";"07/11/2013";"42 000";"1 290";"";"";"";"";"";"";"";"43 290"
"SE";"Folkets Bio";"22/11/2013";"9 186";"7 846";"35";"";"";"";"";"";"";"17 067"
"SI";"Fivia";"09/11/2013";"1 722";"2 027";"173";"60";"";"";"";"";"";"3 982"
"SK";"Film Europe (SK)";"28/11/2013";"1 604";"1 197";"148";"30";"37";"15";"7";"";"59";"3 038"
"TR";"M3 Film";"08/11/2013";"9 758";"2 678";"";"";"";"";"";"";"";"12 436"
"EUR EU";"";"";"1 730 404";"257 052";"3 658";"446";"805";"143";"127";"43";"1 118";"1 992 678"
"EUR OBS";"";"";"1 820 363";"282 739";"3 821";"559";"847";"151";"139";"51";"1 188";"2 108 670"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43216"
