"Market";"Distributor";"Release date";"2006";"2007";"2008";"2013";"2014";"2015";"2016";"2020";"2014-2020";"Total since 2005"
"AT";"Luna Film";"06/07/2007";"";"14 247";"2 051";"";"";"";"";"";"";"16 298"
"BE";"Victory Productions (BE)";"18/01/2006";"72 489";"";"";"";"";"";"";"";"";"72 489"
"CH";"Pathé Films (CH)";"11/01/2006";"28 183";"5 420";"98";"137";"";"";"";"50";"50";"33 888"
"DE";"Movienet Film";"08/02/2007";"2 418";"204 898";"5 854";"";"367";"265";"180";"";"812";"213 982"
"ES";"Zeta Audiovisual";"21/04/2006";"72 646";"381";"";"";"";"";"";"";"";"73 027"
"FR";"Gaumont Columbia TriStar";"11/01/2006";"3 477 072";"";"";"";"";"";"";"";"";"3 477 072"
"LU";"Victory Productions (LU)";"18/01/2006";"3 518";"";"";"";"";"";"";"";"";"3 518"
"RO";"Glob-Com";"";"1 486";"1 406";"";"";"";"";"";"";"";"2 892"
"EUR EU";"";"";"3 629 629";"220 932";"7 905";"";"367";"265";"180";"";"812";"3 859 278"
"EUR OBS";"";"";"3 657 812";"226 352";"8 003";"137";"367";"265";"180";"50";"862";"3 893 166"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2016, 2015, 2014, 2013, 2008, 2007, 2006"
" - film_id : 25574"
