"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2014-2017";"Total since 2010"
"AT";"Constantin Film (AT)";"18/03/2011";"";"357";"";"";"";"";"";"";"";"357"
"BE";"Belga Films (BE)";"10/03/2010";"92 815";"";"";"";"";"";"";"110";"110";"92 925"
"BG";"Vadi Van Kris";"29/07/2011";"";"230";"";"";"";"";"";"";"";"230"
"CH";"Pathé Films (CH)";"10/03/2010";"16 792";"150";"33";"";"160";"47";"";"";"207";"17 182"
"DE";"Constantin Film (DE)";"10/02/2011";"";"18 677";"";"";"68";"3";"31";"5";"107";"18 784"
"DK";"";"";"3 809";"";"";"";"";"";"";"";"";"3 809"
"FI";"Cinema Mondo";"19/11/2010";"2 197";"632";"";"";"";"";"";"";"";"2 829"
"FR";"Gaumont Distribution";"10/03/2010";"2 895 810";"";"";"";"";"";"";"";"";"2 895 810"
"GB";"Revolver Films (GB)";"17/06/2011";"";"3 596";"";"";"";"";"";"";"";"3 596"
"GR";"Word of Mouth (GR)";"29/04/2010";"8 305";"";"";"";"";"";"";"";"";"8 305"
"IT";"Videa-CDE";"27/01/2011";"";"48 926";"12 785";"1 958";"1 218";"498";"";"";"1 716";"65 385"
"LU";"Belga Film (LU)";"10/03/2010";"2 094";"";"";"";"";"";"";"";"";"2 094"
"NL";"Moonlight Films";"12/08/2010";"8 665";"1 029";"160";"";"";"";"";"";"";"9 854"
"NO";"Oro Film";"01/10/2010";"5 674";"";"";"";"";"";"";"";"";"5 674"
"PT";"ZON Lusomundo Audiovisuais";"27/09/2012";"";"";"609";"";"";"";"";"";"";"609"
"RU";"RWS";"28/07/2011";"";"1 708";"";"";"";"";"";"";"";"1 708"
"SE";"CCV Entertainment (SE)";"08/10/2010";"794";"277";"557";"";"";"";"";"";"";"1 628"
"EUR EU";"";"";"3 014 489";"73 724";"14 111";"1 958";"1 286";"501";"31";"115";"1 933";"3 106 215"
"EUR OBS";"";"";"3 036 955";"75 582";"14 144";"1 958";"1 446";"548";"31";"115";"2 140";"3 130 779"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 33775"
