"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2015-2018";"Total since 2011"
"BE";"Umedia Distribution (BE)";"12/10/2011";"112 073";"5 227";"6 785";"";"";"";"";"";"124 085"
"CH";"JMH Distributions (CH)";"12/10/2011";"9 672";"841";"26";"104";"529";"";"";"529";"11 172"
"EE";"SmartWay System (EE)";"09/03/2012";"";"5 745";"";"";"";"";"";"";"5 745"
"FR";"EuropaCorp (FR)";"12/10/2011";"1 676 878";"89 590";"";"";"";"";"";"";"1 766 468"
"GB";"Entertainment One Films (GB)";"27/01/2012";"";"534 717";"";"22";"23";"23";"";"46";"534 785"
"HR";"Blitz Film & Video Distribution (HR)";"05/01/2012";"";"18 783";"";"";"";"";"";"";"18 783"
"HU";"Forum-Hungary";"26/01/2012";"";"24 658";"";"";"";"";"";"";"24 658"
"IS";"Myndform";"11/02/2012";"";"4 766";"";"";"";"";"";"";"4 766"
"IT";"Sunshine Pictures";"22/11/2012";"";"82 359";"2 426";"135";"";"";"";"";"84 920"
"LU";"Umedia";"14/10/2011";"1 856";"";"";"";"";"";"";"";"1 856"
"LV";"Incognito Films";"";"";"506";"";"";"";"";"";"";"506"
"NL";"A-Film (NL)";"20/06/2012";"";"28 926";"245";"";"";"";"";"";"29 171"
"PT";"NOS Lusomundo Audiovisuais (PT)";"31/05/2012";"";"32 344";"1 050";"136";"39";"";"77";"116";"33 646"
"RO";"Pro Video";"25/02/2012";"";"3 233";"";"";"";"";"";"";"3 233"
"RU";"Paradise";"29/12/2011";"35 405";"170 984";"";"";"";"";"";"";"206 389"
"TR";"Tiglon";"04/05/2012";"";"36 932";"7 402";"1 358";"";"";"";"";"45 692"
"EUR EU";"";"";"1 790 807";"826 088";"10 506";"293";"62";"23";"77";"162";"2 627 856"
"EUR OBS";"";"";"1 835 884";"1 039 611";"17 934";"1 755";"591";"23";"77";"691";"2 895 875"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37662"
