"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2010";"2011";"2008-2011";"Total since 2004"
"AT";"Tobis Film (AT)";"17/09/2004";"69 089";"1 463";"678";"40";"";"";"";"";"71 270"
"BE";"Alternative Films (BE)";"07/04/2004";"151 653";"493";"117";"208";"";"";"";"";"152 471"
"CH";"Pathé Films (CH)";"07/04/2004";"104 630";"";"";"";"";"";"497";"497";"105 127"
"DE";"Tobis Film (DE)";"16/09/2004";"362 054";"20 215";"2 174";"441";"";"";"";"";"384 884"
"DK";"UIP (DK)";"24/09/2004";"23 633";"1 507";"607";"";"";"";"";"";"25 747"
"EE";"MPDE";"31/12/2004";"138";"";"";"";"";"";"";"";"138"
"ES";"Tripictures";"26/11/2004";"314 151";"59 496";"108";"20";"";"2 822";"";"2 822";"376 597"
"FI";"Buena Vista (FI)";"08/10/2004";"24 729";"1 146";"12";"";"";"";"";"";"25 887"
"FR";"Pathé Distribution (FR)";"07/04/2004";"3 276 365";"";"115";"";"";"";"";"";"3 276 480"
"GB";"Pathé Distribution (GB)";"23/07/2004";"283 019";"";"";"";"";"";"";"";"283 019"
"IS";"";"";"2 840";"";"";"";"";"";"";"";"2 840"
"IT";"Medusa Film";"01/10/2004";"199 936";"44 296";"";"";"89";"";"";"89";"244 321"
"LU";"";"";"6 643";"";"";"";"";"";"";"";"6 643"
"NL";"A-Film (NL)";"08/07/2004";"26 948";"";"87";"54";"";"";"9";"9";"27 098"
"NO";"UIP (NO)";"29/10/2004";"46 775";"";"";"3 518";"";"";"";"";"50 293"
"SE";"UIP / Paramount";"29/10/2004";"24 451";"4 908";"";"";"";"";"";"";"29 359"
"SI";"A.G. Market";"07/10/2004";"16 602";"";"";"";"";"";"";"";"16 602"
"EUR EU";"";"";"4 779 411";"133 524";"3 898";"763";"89";"2 822";"9";"2 920";"4 920 516"
"EUR OBS";"";"";"4 933 656";"133 524";"3 898";"4 281";"89";"2 822";"506";"3 417";"5 078 776"
"US_CA";"";"";"3 059 581";"";"";"";"";"";"";"";"3 059 581"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2010, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21967"
