"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2013";"2014";"2020";"2008-2020";"Total since 2004"
"AT";"Filmladen";"23/12/2004";"5 265";"18 611";"";"";"";"";"";"";"";"";"";"23 876"
"BE";"Alternative Films (BE)";"22/09/2004";"76 443";"3 568";"1 745";"";"";"";"";"";"";"";"";"81 756"
"CH";"Frenetic Films (CH)";"22/09/2004";"55 530";"15 766";"";"10";"39";"";"";"63";"";"102";"204";"71 510"
"DE";"Prokino Filmverleih";"18/11/2004";"107 004";"20 781";"334";"97";"";"";"";"";"";"";"";"128 216"
"DK";"Camera Film";"12/11/2004";"11 331";"5 662";"184";"44";"";"";"";"";"";"";"";"17 221"
"ES";"Vertigo Films (ES)";"05/11/2004";"58 448";"12 887";"146";"";"";"";"";"";"";"";"";"71 481"
"FI";"Kamras Film Group";"19/11/2004";"1 661";"4 288";"937";"";"";"";"";"";"";"";"";"6 886"
"FR";"Mars Films (FR)";"22/09/2004";"1 554 828";"";"136";"";"";"";"";"";"";"";"";"1 554 964"
"GB";"Pathé Distribution (GB)";"05/11/2004";"118 138";"5 535";"";"";"";"";"";"";"";"";"";"123 673"
"GR";"Prooptiki (GR)";"29/04/2005";"";"2 277";"296";"";"";"";"";"";"";"";"";"2 573"
"HU";"Budapestfilm";"28/04/2005";"";"5 617";"";"";"11";"";"";"";"";"";"11";"5 628"
"IE";"Pathé Distribution (IE)";"05/11/2004";"";"8 361";"";"";"";"";"";"";"";"";"";"8 361"
"IT";"Lucky Red";"28/10/2004";"198 910";"38 046";"2 489";"";"";"";"";"";"";"";"";"239 445"
"LU";"Alternative Film (LU)";"22/09/2004";"4 649";"31";"";"";"";"";"";"";"";"";"";"4 680"
"NL";"A-Film (NL)";"11/11/2004";"17 485";"10 913";"87";"9";"";"";"142";"";"";"";"142";"28 636"
"NO";"Arthaus (NO)";"26/12/2004";"4 730";"13 092";"544";"";"";"";"";"";"";"";"";"18 366"
"PL";"Kino Swiat";"22/10/2004";"40 917";"4 661";"";"";"";"";"";"";"";"";"";"45 578"
"PT";"Atalanta Filmes";"11/11/2004";"15 232";"2 453";"";"";"";"";"";"";"";"";"";"17 685"
"RO";"IF-Independenta Film";"18/03/2005";"";"2 118";"";"";"";"155";"";"";"";"";"155";"2 273"
"SE";"Nonstop Entertainment";"07/01/2005";"167";"31 106";"";"15";"54";"";"";"";"11";"";"65";"31 353"
"EUR EU";"";"";"2 210 478";"176 915";"6 354";"165";"65";"155";"142";"";"11";"";"373";"2 394 285"
"EUR OBS";"";"";"2 270 738";"205 773";"6 898";"175";"104";"155";"142";"63";"11";"102";"577";"2 484 161"
"US_CA";"";"";"";"271 030";"";"";"";"";"";"";"";"";"";"271 030"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2014, 2013, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22162"
