"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Luna Film";"10/04/2014";"52 540";"584";"936";"";"";"";"";"";"54 060"
"BA";"Blitz Film & Video Distribution (BA)";"25/12/2014";"261";"645";"";"";"";"";"";"";"906"
"BE";"Alternative Films (BE)";"26/02/2014";"290 476";"503";"2 498";"739";"";"";"59";"59";"294 275"
"CH";"Pathé Films (CH)";"26/02/2014";"136 791";"61";"";"27";"";"";"";"";"136 879"
"DE";"Prokino Filmverleih";"10/04/2014";"247 305";"950";"";"";"14";"24";"";"38";"248 293"
"FR";"Pathé Distribution (FR)";"26/02/2014";"5 268 881";"";"";"";"";"";"246";"246";"5 269 127"
"GR";"Spentzos Film";"31/07/2014";"12 808";"";"";"";"";"";"";"";"12 808"
"HR";"Blitz Film & Video Distribution (HR)";"25/12/2014";"2 261";"3 952";"";"";"";"";"";"";"6 213"
"HU";"MTVA";"11/09/2014";"5 366";"8";"";"";"";"";"";"";"5 374"
"IT";"Eagle Pictures";"13/03/2014";"146 113";"346";"83";"";"";"";"";"";"146 542"
"LU";"Alternative Film (LU)";"26/02/2014";"12 411";"";"";"";"";"";"";"";"12 411"
"NL";"Paradiso Entertainment (NL)";"15/05/2014";"7 250";"";"10";"";"";"";"";"";"7 260"
"PL";"Monolith";"11/07/2014";"122 848";"499";"9";"78";"";"";"";"";"123 434"
"PT";"Vendetta Filmes";"17/04/2014";"7 032";"143";"";"";"";"";"";"";"7 175"
"RU";"Arena/Volga (RU)";"18/09/2014";"26 083";"2 470";"";"";"";"";"";"";"28 553"
"SI";"Blitz Film & Video Distribution (SI)";"08/01/2015";"";"596";"";"78";"";"";"";"";"674"
"EUR EU";"";"";"6 175 291";"7 581";"3 536";"895";"14";"24";"305";"343";"6 187 646"
"EUR OBS";"";"";"6 338 426";"10 757";"3 536";"922";"14";"24";"305";"343";"6 353 984"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47059"
