"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2015";"2010-2015";"Total since 2006"
"BE";"Belga Films (BE)";"04/10/2006";"76 927";"";"";"";"";"";"";"";"";"76 927"
"CH";"Agora Films";"27/09/2006";"25 792";"917";"";"";"";"";"";"";"";"26 709"
"DK";"Ost for Paradis";"11/05/2007";"";"3 827";"324";"";"11";"";"";"";"11";"4 162"
"ES";"Notro Films (ES)";"24/11/2006";"84";"34 780";"282";"49";"";"106";"";"";"106";"35 301"
"FR";"Mars Films (FR)";"27/09/2006";"2 995 992";"";"";"";"";"";"";"";"";"2 995 992"
"GB";"Metrodome";"30/03/2007";"";"41 888";"";"";"";"";"";"13";"13";"41 901"
"LU";"Belga Film (LU)";"04/10/2006";"3 077";"";"";"";"";"";"";"";"";"3 077"
"NL";"Independent Films (NL)";"18/01/2007";"";"3 832";"85";"";"";"";"";"";"";"3 917"
"PT";"LNK Audiovisuais";"24/05/2007";"";"3 388";"";"";"";"";"";"";"";"3 388"
"SE";"Folkets Bio";"08/12/2006";"2 858";"5 068";"4";"";"";"";"30";"";"30";"7 960"
"EUR EU";"";"";"3 078 938";"92 783";"695";"49";"11";"106";"30";"13";"160";"3 172 625"
"EUR OBS";"";"";"3 104 730";"93 700";"695";"49";"11";"106";"30";"13";"160";"3 199 334"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25576"
