"Market";"Distributor";"Release date";"2004";"2005";"2008";"2012";"2015";"Total since 2004"
"BE";"";"";"122 522";"";"";"";"";"122 522"
"CH";"";"";"51 743";"";"";"";"";"51 743"
"CZ";"Intersonic (CZ)";"23/09/2004";"10 213";"530";"";"";"";"10 743"
"ES";"Vértice Cine";"21/07/2006";"";"";"";"1 071";"588";"1 659"
"FR";"";"";"1 631 777";"";"";"";"";"1 631 777"
"GR";"Odeon (GR)";"23/07/2004";"3 373";"";"";"";"";"3 373"
"LT";"Acme (LT)";"06/08/2004";"2 321";"19";"";"";"";"2 340"
"LU";"";"";"6 254";"";"";"";"";"6 254"
"LV";"Acme (LV)";"06/08/2004";"3 406";"";"";"";"";"3 406"
"NL";"A-Film (NL)";"01/07/2004";"101";"";"";"";"";"101"
"PL";"SPI Poland";"23/07/2004";"183 731";"470";"";"";"";"184 201"
"PT";"Atalanta Filmes";"18/11/2004";"8 210";"726";"236";"";"";"9 172"
"TR";"";"";"1 788";"";"";"";"";"1 788"
"EUR EU";"";"";"1 971 908";"1 745";"236";"1 071";"588";"1 975 548"
"EUR OBS";"";"";"2 025 439";"1 745";"236";"1 071";"588";"2 029 079"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2012, 2008, 2005, 2004"
" - film_id : 22041"
