"Market";"Distributor";"Release date";"2003";"2004";"Total since 2003"
"BE";"";"";"60 805";"";"60 805"
"CH";"";"";"10 407";"";"10 407"
"FR";"";"";"1 953 346";"1 606";"1 954 952"
"LU";"";"";"1 040";"";"1 040"
"NL";"A-Film (NL)";"29/07/2004";"";"40";"40"
"EUR EU";"";"";"2 015 191";"1 646";"2 016 837"
"EUR OBS";"";"";"2 025 598";"1 646";"2 027 244"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2004, 2003"
" - film_id : 20707"
