"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"BA";"Blitz Film & Video Distribution (BA)";"19/04/2018";"5 194";"";"";"5 194"
"BE";"Belga Films (BE)";"11/04/2018";"147 847";"311";"";"148 158"
"BG";"bTV";"13/04/2018";"81 175";"562";"";"81 737"
"CH";"Pathé Films (CH)";"11/04/2018";"38 532";"";"";"38 532"
"CZ";"Bioscop (AQS)";"10/05/2018";"12 969";"92";"4";"13 065"
"EE";"HeaFilm";"13/04/2018";"1 951";"";"";"1 951"
"FR";"EuropaCorp Dist/ARP";"11/04/2018";"3 653 933";"";"";"3 653 933"
"GR";"Odeon (GR)";"24/05/2018";"6 209";"";"";"6 209"
"HR";"Blitz Film & Video Distribution (HR)";"19/04/2018";"13 820";"";"";"13 820"
"HU";"Big Bang Media";"03/05/2018";"37 489";"47";"";"37 536"
"LT";"Theatrical Film Distribution (LT)";"20/04/2018";"6 298";"";"";"6 298"
"LU";"Belga Film (LU)";"11/04/2018";"9 763";"";"";"9 763"
"LV";"LTD Latvian Theatrical Distribution";"13/04/2018";"2 205";"";"";"2 205"
"ME";"";"";"1 417";"";"";"1 417"
"MK";"Blitz Film (MK)";"";"2 560";"";"";"2 560"
"PL";"Kino Swiat";"04/05/2018";"40 808";"";"";"40 808"
"PT";"NOS Lusomundo Audiovisuais (PT)";"21/06/2018";"34 526";"";"";"34 526"
"RO";"Ro-Image 2000";"01/06/2018";"88 349";"";"";"88 349"
"RU";"Central Partnership (RU)";"10/05/2018";"427 515";"";"";"427 515"
"SI";"Blitz Film & Video Distribution (SI)";"19/04/2018";"9 630";"";"";"9 630"
"SK";"Magic Box Slovakia";"10/05/2018";"7 228";"";"20";"7 248"
"TR";"Tme";"04/05/2018";"36 530";"400";"";"36 930"
"EUR EU";"";"";"4 154 200";"1 012";"24";"4 155 236"
"EUR OBS";"";"";"4 665 948";"1 412";"24";"4 667 384"
"MA";"";"";"31 449";"";"";"31 449"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 78448"
