"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin (AT)";"05/07/2018";"7 371";"";"";"7 371"
"BA";"Blitz Film & Video Distribution (BA)";"14/06/2018";"924";"";"";"924"
"BE";"Distri7 (BE)";"14/03/2018";"82 407";"";"";"82 407"
"CH";"Elite Film";"14/03/2018";"61 624";"30";"55";"61 709"
"CZ";"CinemArt (CZ)";"28/06/2018";"11 005";"802";"168";"11 975"
"DE";"NFP Marketing & Distribution";"05/07/2018";"47 030";"3 869";"640";"51 539"
"DK";"Another World Entertainment APS";"25/10/2018";"409";"";"";"409"
"EE";"GPI (EE)";"23/03/2018";"1 028";"";"";"1 028"
"ES";"A Contracorriente Films";"13/12/2018";"129 531";"148 470";"";"278 001"
"FI";"Future Film (FI)";"28/12/2018";"576";"849";"";"1 425"
"FR";"Gaumont Distribution";"14/03/2018";"2 419 376";"";"";"2 419 376"
"GR";"Odeon (GR)";"02/08/2018";"19 051";"";"";"19 051"
"HR";"Blitz Film & Video Distribution (HR)";"07/06/2018";"3 431";"";"";"3 431"
"HU";"Hungaricom";"07/06/2018";"22 148";"";"";"22 148"
"IT";"Vision Distribution (IT)";"27/09/2018";"80 239";"3 935";"131";"84 305"
"LT";"Garsų pasaulio įrašai (LT)";"08/06/2018";"2 290";"";"";"2 290"
"LU";"";"";"1 960";"22";"";"1 982"
"LV";"Garsu Pasaulio irasai (LV)";"20/04/2018";"1 000";"";"";"1 000"
"ME";"";"";"24";"";"";"24"
"PL";"Kino Swiat";"21/09/2018";"37 563";"1 296";"";"38 859"
"PT";"NOS Lusomundo Audiovisuais (PT)";"12/04/2018";"8 720";"177";"";"8 897"
"RU";"Megogo Distribution (RU)";"05/07/2018";"43 477";"";"";"43 477"
"SE";"Njutafilms";"09/11/2018";"3 005";"287";"";"3 292"
"SK";"CinemaArt (SK)";"21/06/2018";"6 546";"152";"14";"6 712"
"EUR EU";"";"";"2 884 686";"159 859";"953";"3 045 498"
"EUR OBS";"";"";"2 990 735";"159 889";"1 008";"3 151 632"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77703"
