"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"BE";"Athena Films (BE)";"25/10/2017";"32 959";"956";"103";"";"34 018"
"CH";"Frenetic Films (CH)";"11/10/2017";"12 508";"930";"";"5";"13 443"
"ES";"Vercine 2007";"15/02/2019";"";"";"11 997";"";"11 997"
"FR";"StudioCanal (FR)";"11/10/2017";"1 865 904";"";"";"224";"1 866 128"
"GB";"StudioCanal (GB)";"03/11/2017";"296";"";"";"";"296"
"LU";"Athena Films (LU)";"11/10/2017";"935";"";"";"";"935"
"ME";"MCF (ME)";"";"";"";"2";"";"2"
"PL";"Kino Swiat";"28/09/2018";"";"100";"";"";"100"
"PT";"NOS Lusomundo Audiovisuais (PT)";"21/06/2018";"";"580";"";"";"580"
"RU";"Pioneer Film (RU)";"25/10/2018";"";"25 646";"";"";"25 646"
"TR";"Chantier Films";"06/07/2018";"";"3 450";"237";"";"3 687"
"EUR EU";"";"";"1 900 094";"1 636";"12 100";"224";"1 914 054"
"EUR OBS";"";"";"1 912 602";"31 662";"12 339";"229";"1 956 832"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 76017"
