"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"Total since 2012"
"BE";"Alternative Films (BE)";"29/02/2012";"107 109";"";"";"";"107 109"
"CH";"Frenetic Films (CH)";"29/02/2012";"55 152";"40";"";"";"55 192"
"CZ";"Hollywood";"";"";"20";"";"";"20"
"EE";"Acme (EE)";"01/12/2012";"695";"66";"";"";"761"
"ES";"Vertigo Films (ES)";"04/04/2012";"66 947";"";"";"";"66 947"
"FR";"Mars Films (FR)";"29/02/2012";"2 301 045";"";"";"";"2 301 045"
"GB";"Momentum/Alliance";"06/07/2012";"2 503";"";"";"";"2 503"
"GR";"Feelgood";"14/06/2012";"22 581";"132";"";"";"22 713"
"HU";"Budapestfilm";"26/04/2012";"4 828";"206";"";"";"5 034"
"IT";"Bim Distribuzione";"04/05/2012";"86 521";"136";"";"";"86 657"
"LU";"Alternative Film (LU)";"29/02/2012";"6 603";"";"";"";"6 603"
"LV";"Acme (LV)";"07/12/2012";"1 291";"";"";"";"1 291"
"ME";"";"";"";"97";"";"";"97"
"NL";"";"09/08/2012";"2 946";"";"";"";"2 946"
"PL";"Kino Swiat";"12/10/2012";"119 044";"1 142";"32";"";"120 218"
"PT";"ZON Lusomundo Audiovisuais";"03/05/2012";"34 241";"";"";"";"34 241"
"RO";"IF-Independenta Film";"23/11/2012";"11 001";"966";"151";"222";"12 340"
"RU";"Luxor";"19/04/2012";"177 650";"";"";"";"177 650"
"SI";"Cinemania Group";"08/11/2012";"4 046";"532";"";"1";"4 579"
"TR";"Pinema";"14/09/2012";"31 197";"";"";"";"31 197"
"EUR EU";"";"";"2 771 401";"3 200";"183";"223";"2 775 007"
"EUR OBS";"";"";"3 035 400";"3 337";"183";"223";"3 039 143"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012"
" - film_id : 39166"
