"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Filmladen";"29/04/2016";"15 461";"212";"218";"";"";"15 891"
"BA";"Blitz Film & Video Distribution (BA)";"";"413";"";"";"";"";"413"
"BE";"Paradiso Filmed Entertainment";"03/02/2016";"62 584";"4 838";"2 214";"915";"102";"70 653"
"CH";"Elite Film";"03/02/2016";"95 276";"411";"60";"109";"";"95 856"
"CZ";"ACFK";"20/10/2016";"1 599";"371";"";"9";"";"1 979"
"DE";"DCM Film Distribution (DE)";"19/05/2016";"73 041";"1 753";"236";"";"";"75 030"
"DK";"UIP (DK)";"28/07/2016";"5 650";"";"";"";"";"5 650"
"EE";"Aurum Distribution (EE)";"";"636";"";"";"";"";"636"
"ES";"Vértice Cine";"19/04/2016";"33 493";"998";"62";"";"";"34 553"
"FI";"Future Film";"29/07/2016";"4 688";"141";"";"";"";"4 829"
"FR";"Gaumont Distribution";"03/02/2016";"1 932 839";"";"";"";"257";"1 933 096"
"GB";"StudioCanal (GB)";"04/11/2016";"557";"364";"";"";"34";"955"
"GR";"Odeon (GR)";"24/03/2016";"6 701";"";"";"";"";"6 701"
"HR";"Blitz Film & Video Distribution (HR)";"03/03/2016";"736";"";"";"";"";"736"
"HU";"Mozinet";"10/03/2016";"8 516";"81";"113";"50";"";"8 760"
"IT";"Videa-CDE";"07/04/2016";"68 580";"314";"";"232";"";"69 126"
"LU";"Santa Fe Productions (LU)";"13/01/2016";"2 724";"";"";"";"";"2 724"
"LV";"Top Film (LV)";"29/04/2016";"1 648";"";"";"";"";"1 648"
"NL";"Paradiso Entertainment (NL)";"21/04/2016";"56 629";"293";"25";"";"";"56 947"
"NO";"Uavhengig distribusjon";"28/11/2016";"69";"";"";"";"";"69"
"PL";"Kino Swiat";"01/07/2016";"5 877";"297";"";"";"";"6 174"
"PT";"NOS Lusomundo Audiovisuais (PT)";"10/11/2016";"4 184";"";"";"";"";"4 184"
"RU";"Luxor";"12/05/2016";"51 656";"";"60";"";"";"51 716"
"SE";"Noble Entertainment";"02/12/2016";"1 538";"385";"";"";"";"1 923"
"EUR EU";"";"";"2 287 681";"10 047";"2 868";"1 206";"393";"2 302 195"
"EUR OBS";"";"";"2 435 095";"10 458";"2 988";"1 315";"393";"2 450 249"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68113"
