"Market";"Distributor";"Release date";"2007";"2008";"2009";"2016";"Total since 2007"
"BE";"Bevrijdingsfilms (BE)";"14/02/2007";"274 737";"";"";"181";"274 918"
"BG";"Aleksandra";"04/07/2008";"";"10 863";"";"";"10 863"
"CH";"Monopole Pathé Films";"14/02/2007";"76 838";"";"";"";"76 838"
"CZ";"SPI";"12/04/2007";"44 458";"23";"";"";"44 481"
"FR";"EuropaCorp Dist/ARP";"14/02/2007";"4 576 818";"";"";"";"4 576 818"
"HU";"SPI Hungary";"05/04/2007";"221 854";"";"";"";"221 854"
"IS";"Myndform";"";"751";"";"";"";"751"
"LT";"Acme (LT)";"02/03/2007";"42 413";"";"";"";"42 413"
"LV";"Acme (LV)";"";"20 907";"";"";"";"20 907"
"PL";"SPI Poland";"27/04/2007";"77 726";"";"";"";"77 726"
"PT";"ZON Lusomundo Audiovisuais";"14/06/2007";"31 123";"";"";"";"31 123"
"RO";"Ro-Image 2000";"16/11/2007";"13 660";"1 892";"";"";"15 552"
"SI";"Continental Film (SI)";"07/05/2009";"";"";"5 399";"";"5 399"
"SK";"SPI SK";"10/05/2007";"25 452";"483";"";"";"25 935"
"TR";"Chantier Films";"01/06/2007";"54 349";"";"";"";"54 349"
"EUR EU";"";"";"5 329 148";"13 261";"5 399";"181";"5 347 989"
"EUR OBS";"";"";"5 461 086";"13 261";"5 399";"181";"5 479 927"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2009, 2008, 2007"
" - film_id : 26960"
