"Market";"Distributor";"Release date";"2016";"Total since 2016"
"BE";"Alternative Films (BE)";"03/02/2016";"310 544";"310 544"
"CH";"Pathé Films (CH)";"03/02/2016";"15 345";"15 345"
"FR";"Pathé Distribution (FR)";"";"4 619 884";"4 619 884"
"LU";"Alternative Film (LU)";"03/02/2016";"3 302";"3 302"
"EUR EU";"";"";"4 933 730";"4 933 730"
"EUR OBS";"";"";"4 949 075";"4 949 075"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016"
" - film_id : 69530"
