"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2018";"2019";"2010-2019";"Total since 2006"
"AT";"Constantin Film (AT)";"14/09/2006";"598 884";"1 588";"552";"";"";"";"";"";"";"";"";"";"";"601 024"
"BE";"Kinepolis Film Distribution (BE)";"18/10/2006";"204 251";"15 510";"296";"";"";"";"";"";"";"";"";"";"";"220 057"
"CH";"Eigenverleih / Propre Distribution (CH)";"14/09/2006";"389 259";"909";"18";"11";"";"";"";"";"";"";"7";"";"7";"390 204"
"CY";"Odeon (CY)";"16/02/2007";"";"";"";"325";"";"";"";"";"";"";"";"";"";"325"
"CZ";"SPI";"30/11/2006";"51 255";"18 787";"313";"99";"";"";"";"";"";"";"";"";"";"70 454"
"DE";"Constantin Film (DE)";"14/09/2006";"5 480 675";"108 542";"";"";"";"";"542";"249";"113";"173";"349";"173";"1 599";"5 590 816"
"DK";"Nordisk, Constantin, Fox";"29/12/2006";"8 761";"27 367";"";"";"";"";"";"";"";"";"";"";"";"36 128"
"EE";"Forum Cinemas (EE)";"11/10/2006";"5 092";"";"";"";"";"";"";"";"";"";"";"";"";"5 092"
"ES";"Filmax (SOGEDASA)";"20/11/2006";"1 184 849";"179 542";"";"";"";"";"";"";"";"";"";"";"";"1 364 391"
"FI";"Nordisk Film Theatrical Dist.";"19/01/2007";"";"20 967";"";"";"";"";"";"";"";"";"";"";"";"20 967"
"FR";"Metropolitan Filmexport";"04/10/2006";"921 920";"";"";"";"";"";"";"";"";"";"";"";"";"921 920"
"GB";"Pathé Distribution (GB)";"29/12/2006";"163 671";"";"";"";"";"";"";"";"5";"";"";"";"5";"163 676"
"GR";"Odeon (GR)";"21/12/2006";"40 890";"162 687";"";"";"";"";"";"";"";"";"";"";"";"203 577"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"3 217";"";"";"";"";"";"";"";"";"";"";"";"3 217"
"HU";"SPI Hungary";"11/01/2007";"";"91 635";"";"";"";"";"";"";"";"";"";"";"";"91 635"
"IS";"";"";"";"3 608";"";"";"";"";"";"";"";"";"";"";"";"3 608"
"IT";"Medusa Film";"22/09/2006";"531 188";"2 480";"";"";"";"";"";"";"114";"";"";"";"114";"533 782"
"LT";"ACME / Constantin";"10/11/2006";"31 077";"";"";"";"";"12";"";"";"";"";"";"";"12";"31 089"
"LU";"";"15/09/2006";"26 300";"";"";"";"";"";"";"";"";"";"";"";"";"26 300"
"LV";"Acme (LV)";"27/10/2006";"17 839";"";"";"";"";"";"";"";"";"";"";"";"";"17 839"
"NL";"Entertainment One Benelux";"07/12/2006";"103 480";"108 619";"1 422";"";"12";"";"118";"";"";"30";"";"";"160";"213 681"
"NO";"Nordisk Filmdistribusjon";"19/01/2007";"";"35 727";"";"";"";"";"";"";"";"";"";"";"";"35 727"
"PL";"Gutek Film/Max Film";"12/01/2007";"";"503 788";"1 586";"";"";"";"";"";"";"";"";"";"";"505 374"
"PT";"ZON Lusomundo Audiovisuais";"09/11/2006";"119 108";"14 246";"";"";"";"";"";"";"";"";"";"";"";"133 354"
"RO";"Prooptiki (RO)";"30/03/2007";"";"9 295";"204";"";"";"";"";"";"";"";"";"";"";"9 499"
"SE";"Nordisk Film";"26/01/2007";"";"42 438";"69";"";"";"";"";"";"";"";"";"";"";"42 507"
"SI";"Blitz Film & Video Distribution (SI)";"16/11/2006";"18 946";"3 007";"";"";"40";"";"";"";"";"";"";"";"40";"21 993"
"SK";"SPI SK";"11/01/2007";"";"52 636";"261";"76";"";"";"";"";"";"";"";"";"";"52 973"
"TR";"Ozen Film";"16/02/2007";"";"151 693";"";"";"";"";"";"";"";"";"";"";"";"151 693"
"EUR EU";"";"";"9 508 186";"1 366 351";"4 703";"500";"52";"12";"660";"249";"232";"203";"349";"173";"1 930";"10 881 670"
"EUR OBS";"";"";"9 897 445";"1 558 288";"4 721";"511";"52";"12";"660";"249";"232";"203";"356";"173";"1 937";"11 462 902"
"US_CA";"Paramount-Dreamworks (US)";"27/12/2006";"";"312 122";"";"";"";"";"";"";"";"";"";"";"";"312 122"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25607"
