"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2015";"2016";"2017";"2018";"2019";"2010-2019";"Total since 2005"
"CH";"Warner Bros. (CH)";"05/01/2006";"16 380";"44";"";"";"";"90";"60";"";"";"";"";"";"";"150";"16 574"
"DE";"Warner Bros. (DE)";"05/01/2006";"929 057";"9 577";"4 819";"4 819";"4 819";"5 221";"6 265";"476";"430";"340";"32";"94";"93";"17 770";"966 042"
"ES";"Flins y piniculas";"06/10/2006";"58 763";"2 448";"119";"";"8";"";"";"24";"30";"";"";"";"";"62";"61 392"
"GB";"Warner Bros. (GB)";"26/05/2006";"25 321";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 321"
"IS";"";"";"1 113";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 113"
"EUR EU";"";"";"1 013 141";"12 025";"4 938";"4 819";"4 827";"5 221";"6 265";"500";"460";"340";"32";"94";"93";"17 832";"1 052 755"
"EUR OBS";"";"";"1 030 634";"12 069";"4 938";"4 819";"4 827";"5 311";"6 325";"500";"460";"340";"32";"94";"93";"17 982";"1 070 442"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26059"
