"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Universal Pictures (AT)";"19/02/2015";"";"2 472";"";"";"";"";"";"";"2 472"
"BA";"Blitz Film & Video Distribution (BA)";"04/02/2016";"";"";"341";"";"";"";"";"";"341"
"BE";"Lumiere Productie (BE)";"29/04/2015";"";"21 693";"1 972";"408";"63";"";"69";"132";"24 205"
"CH";"Universal Pictures (CH)";"06/11/2014";"3 056";"77";"296";"";"";"";"";"";"3 429"
"DE";"Universal Pictures (DE)";"06/11/2014";"188 057";"76 159";"3 902";"1 187";"236";"";"";"236";"269 541"
"DK";"Scanbox Entertainment (DK)";"03/09/2015";"";"9 519";"";"";"";"";"";"";"9 519"
"ES";"DeAPlaneta";"07/01/2015";"";"53 513";"64";"";"";"";"";"";"53 577"
"FR";"Sophie Dulac Distribution (FR)";"29/04/2015";"";"345 425";"12 271";"";"";"";"510";"510";"358 206"
"GB";"StudioCanal (GB)";"19/02/2016";"";"";"1 474";"";"";"";"";"";"1 474"
"GR";"Danaos (GR)";"11/02/2016";"";"";"12 966";"";"";"";"";"";"12 966"
"HR";"Blitz Film & Video Distribution (HR)";"14/02/2016";"";"";"2 311";"";"";"";"";"";"2 311"
"IT";"Good Films (IT)";"14/01/2016";"";"";"117 474";"3 674";"395";"477";"";"872";"122 020"
"LU";"Lumiere Publishing (LU)";"29/04/2015";"";"1 382";"";"";"";"";"";"";"1 382"
"NL";"Lumiere Publishing (NL)";"30/04/2015";"";"29 159";"516";"35";"";"";"97";"97";"29 807"
"PL";"Aurora Films";"22/01/2016";"";"";"8 687";"690";"";"";"";"";"9 377"
"PT";"Films4You";"16/04/2015";"";"2 563";"";"";"";"";"";"";"2 563"
"SE";"Scanbox Entertainment (SE)";"21/08/2015";"";"10 125";"166";"";"";"";"";"";"10 291"
"TR";"M3 Film";"29/01/2016";"";"";"3 618";"";"";"";"";"";"3 618"
"EUR EU";"";"";"188 057";"552 010";"161 803";"5 994";"694";"477";"676";"1 847";"909 711"
"EUR OBS";"";"";"191 113";"552 087";"166 058";"5 994";"694";"477";"676";"1 847";"917 099"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48902"
