"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2007-2008";"Total since 2003"
"AT";"";"";"78 470";"973";"";"";"";"";"";"79 443"
"BE";"Vlaams Centrum voor Kinder";"17/03/2004";"";"24 837";"3 443";"";"";"";"";"28 280"
"DE";"";"25/09/2003";"722 679";"29 146";"";"";"";"";"";"751 825"
"FR";"";"";"";"";"";"22";"";"";"";"22"
"LU";"";"";"10 400";"";"";"";"";"";"";"10 400"
"NL";"A-Film (NL)";"09/09/2004";"";"2 219";"";"36";"161";"";"161";"2 416"
"NO";"Barnefilmfestivalen";"";"";"";"";"";"";"101";"101";"101"
"EUR EU";"";"";"811 549";"57 175";"3 443";"58";"161";"";"161";"872 386"
"EUR OBS";"";"";"811 549";"57 175";"3 443";"58";"161";"101";"262";"872 487"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20799"
