"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Filmladen";"22/01/2016";"118 755";"";"";"";"";"118 755"
"CH";"DCM Film Distribution (CH)";"21/01/2016";"64 030";"";"";"";"";"64 030"
"DE";"DCM Film Distribution (DE)";"21/01/2016";"1 994 248";"2 085";"141";"120";"1 471";"1 998 065"
"NL";"Just Film Distribution";"13/04/2017";"";"10 855";"";"";"";"10 855"
"EUR EU";"";"";"2 113 003";"12 940";"141";"120";"1 471";"2 127 675"
"EUR OBS";"";"";"2 177 033";"12 940";"141";"120";"1 471";"2 191 705"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 70114"
