"Market";"Distributor";"Release date";"2011";"2012";"Total since 2011"
"AT";"Warner Bros. (AT)";"03/02/2011";"310 442";"";"310 442"
"CH";"Warner Bros. (CH)";"03/02/2011";"202 290";"106";"202 396"
"DE";"Warner Bros. (DE)";"03/02/2011";"4 317 017";"";"4 317 017"
"RU";"Cascade Film (RU)";"08/09/2011";"161 228";"";"161 228"
"EUR EU";"";"";"4 627 459";"";"4 627 459"
"EUR OBS";"";"";"4 990 977";"106";"4 991 083"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011"
" - film_id : 38361"
