"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Warner Bros. (AT)";"23/11/2017";"4 326";"1 324";"";"";"5 650"
"BA";"MCF (BA)";"29/03/2018";"";"504";"";"";"504"
"BE";"Cineart (BE)";"17/01/2018";"672";"13 768";"266";"";"14 706"
"BG";"Art Fest";"11/05/2018";"";"2 933";"229";"";"3 162"
"CH";"Warner Bros. (CH)";"23/11/2017";"2 941";"520";"109";"15";"3 585"
"CZ";"Aerofilms";"04/01/2018";"1 303";"10 217";"76";"";"11 596"
"DE";"Warner Bros. (DE)";"23/11/2017";"299 786";"326 384";"1 950";"267";"628 387"
"DK";"Camera Film";"12/04/2018";"";"7 927";"";"";"7 927"
"EE";"A-One Films Estonia (EE)";"16/03/2018";"";"127";"";"";"127"
"ES";"Golem Distribucion";"16/02/2018";"";"21 775";"48";"";"21 823"
"FI";"Future Film";"23/02/2018";"";"1 973";"";"";"1 973"
"FR";"Pathé Distribution (FR)";"17/01/2018";"";"251 651";"";"";"251 651"
"GB";"Curzon Artificial Eye (GB)";"22/06/2018";"";"10 716";"";"";"10 716"
"GR";"Seven Films";"15/02/2018";"";"48 983";"319";"";"49 302"
"HR";"Discovery (HR)";"04/01/2018";"";"1 854";"";"";"1 854"
"HU";"Cirko Film";"08/03/2018";"";"3 846";"58";"";"3 904"
"IE";"Curzon Film World (IE)";"22/06/2018";"";"700";"";"";"700"
"IS";"Heimili Kvikmyndanna - Bíó Paradís";"02/02/2018";"";"406";"";"";"406"
"IT";"Bim Distribuzione";"15/03/2018";"";"85 246";"706";"";"85 952"
"LT";"A-One Films (LT)";"23/02/2018";"";"1 262";"";"";"1 262"
"LU";"Cineart (LU)";"22/11/2017";"672";"524";"";"";"1 196"
"LV";"A-One Film (LV)";"09/03/2018";"";"169";"";"";"169"
"MK";"Goethe Institut (MK)";"";"804";"13";"19";"";"836"
"NL";"Cinéart Nederland";"29/03/2018";"";"28 383";"1 288";"";"29 671"
"NO";"Arthaus (NO)";"27/09/2017";"531";"4 789";"";"";"5 320"
"PL";"Gutek Film";"23/02/2018";"";"34 486";"939";"";"35 425"
"PT";"Midas Filmes";"18/01/2018";"";"7 329";"5";"";"7 334"
"RO";"IF-Independenta Film";"20/04/2018";"";"2 252";"8";"";"2 260"
"RU";"Russian World Vision";"22/02/2018";"";"7 020";"";"";"7 020"
"SE";"Studio S Entertainment";"02/03/2018";"";"4 862";"";"";"4 862"
"SI";"Fivia";"11/11/2017";"793";"2 973";"";"";"3 766"
"SK";"ASFK";"29/03/2018";"";"1 834";"537";"21";"2 392"
"TR";"Bir Film";"02/02/2018";"";"44 899";"";"";"44 899"
"EUR EU";"";"";"307 552";"873 498";"6 429";"288";"1 187 767"
"EUR OBS";"";"";"311 828";"931 649";"6 557";"303";"1 250 337"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73905"
