"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Warner Bros. (AT)";"25/12/2016";"69 218";"30 682";"";"";"";"99 900"
"BA";"Blitz Film & Video Distribution (BA)";"";"";"2 234";"";"";"";"2 234"
"BE";"Utopia Distribution (BE)";"";"";"3 207";"";"";"";"3 207"
"CH";"Warner Bros. (CH)";"25/12/2016";"11 691";"40 591";"";"";"";"52 282"
"CZ";"Falcon";"10/05/2018";"";"";"5 764";"17";"";"5 781"
"DE";"Warner Bros. (DE)";"25/12/2016";"506 307";"634 426";"2 053";"806";"100";"1 143 692"
"HR";"Blitz Film & Video Distribution (HR)";"19/10/2017";"";"4 283";"";"";"";"4 283"
"HU";"ADS";"19/10/2017";"";"4 289";"33";"";"";"4 322"
"LU";"";"";"";"4 375";"";"";"";"4 375"
"RO";"Cine Europa (RO)";"01/09/2017";"";"1 360";"60";"";"";"1 420"
"RU";"Raketa Releasing";"07/12/2017";"";"9 460";"276";"";"";"9 736"
"TR";"Tme";"11/08/2017";"";"2 805";"";"";"";"2 805"
"EUR EU";"";"";"575 525";"682 622";"7 910";"823";"100";"1 266 980"
"EUR OBS";"";"";"587 216";"737 712";"8 186";"823";"100";"1 334 037"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 70110"
