"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Constantin (AT)";"14/05/2015";"82 714";"83";"";"";"";"";"";"82 797"
"CH";"Pathé Films (CH)";"14/05/2015";"34 498";"";"";"";"";"";"";"34 498"
"DE";"Constantin Film (DE)";"14/05/2015";"1 207 957";"4 713";"478";"318";"66";"34";"100";"1 213 566"
"DK";"Angel Films";"28/01/2017";"";"";"771";"";"";"";"";"771"
"PL";"Bomba Film";"08/06/2018";"";"";"";"7 913";"";"";"";"7 913"
"EUR EU";"";"";"1 290 671";"4 796";"1 249";"8 231";"66";"34";"100";"1 305 047"
"EUR OBS";"";"";"1 325 169";"4 796";"1 249";"8 231";"66";"34";"100";"1 339 545"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 64761"
