"Market";"Distributor";"Release date";"2015";"2016";"2018";"Total since 2015"
"AT";"Warner Bros. (AT)";"27/03/2015";"124 949";"";"";"124 949"
"CH";"Warner Bros. (CH)";"05/02/2015";"40 698";"180";"";"40 878"
"CZ";"Fénix Distribution (CZ)";"25/02/2016";"";"3 973";"58";"4 031"
"DE";"Warner Bros. (DE)";"26/03/2015";"1 663 933";"444";"";"1 664 377"
"SK";"Continental Film (SK)";"03/03/2016";"";"2 041";"";"2 041"
"EUR EU";"";"";"1 788 882";"6 458";"58";"1 795 398"
"EUR OBS";"";"";"1 829 580";"6 638";"58";"1 836 276"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2016, 2015"
" - film_id : 63825"
