"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2019";"2017-2019";"Total since 2013"
"AT";"Warner Bros. (AT)";"18/10/2013";"29 870";"";"";"";"";"";"";"29 870"
"CH";"Warner Bros. (CH)";"17/10/2013";"15 787";"";"";"";"";"";"";"15 787"
"DE";"Warner Bros. (DE)";"17/10/2013";"1 198 411";"37 370";"1 873";"258";"103";"145";"248";"1 238 160"
"EUR EU";"";"";"1 228 281";"37 370";"1 873";"258";"103";"145";"248";"1 268 030"
"EUR OBS";"";"";"1 244 068";"37 370";"1 873";"258";"103";"145";"248";"1 283 817"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44695"
