"Market";"Distributor";"Release date";"2010";"2011";"2013";"2016";"2017";"2018";"2017-2018";"Total since 2010"
"AT";"Universal Pictures (AT)";"18/06/2010";"97 544";"";"";"";"";"";"";"97 544"
"CH";"Universal Pictures (CH)";"23/09/2010";"40 159";"204";"2";"";"55";"";"55";"40 420"
"DE";"Universal Pictures (DE)";"17/06/2010";"868 888";"";"";"51";"";"44";"44";"868 983"
"NL";"Just Film Distribution";"04/08/2011";"";"14 070";"";"";"";"";"";"14 070"
"EUR EU";"";"";"966 432";"14 070";"";"51";"";"44";"44";"980 597"
"EUR OBS";"";"";"1 006 591";"14 274";"2";"51";"55";"44";"99";"1 021 017"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2013, 2011, 2010"
" - film_id : 35771"
