"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2017";"2019";"2009-2019";"Total since 2005"
"AT";"Warner Bros. (AT)";"30/09/2005";"118 183";"10 721";"";"";"";"";"";"";"";"";"128 904"
"BE";"Warner Bros. (BE)";"22/02/2006";"";"33 159";"";"";"";"";"";"";"";"";"33 159"
"CH";"Warner Bros. (CH)";"29/09/2005";"66 401";"";"";"";"43";"";"";"7";"50";"100";"66 501"
"DE";"Warner Bros. (DE)";"29/09/2005";"1 323 721";"82 237";"";"";"";"";"";"";"";"";"1 405 958"
"FR";"Gebeka Films";"08/02/2006";"";"251 368";"12 723";"5 537";"";"";"";"";"";"";"269 628"
"GB";"Warner Bros. (GB)";"10/02/2006";"";"108 879";"";"";"";"";"";"";"";"";"108 879"
"LU";"";"";"7 400";"";"";"";"";"";"";"";"";"";"7 400"
"NL";"Warner Bros. (NL)";"26/04/2006";"";"56 836";"1 657";"59";"657";"997";"145";"";"";"1 799";"60 351"
"EUR EU";"";"";"1 449 304";"543 200";"14 380";"5 596";"657";"997";"145";"";"";"1 799";"2 014 279"
"EUR OBS";"";"";"1 515 705";"543 200";"14 380";"5 596";"700";"997";"145";"7";"50";"1 899";"2 080 780"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24240"
