"Market";"Distributor";"Release date";"2010";"2011";"Total since 2010"
"AT";"Warner Bros. (AT)";"02/12/2010";"60 533";"13 955";"74 488"
"CH";"Warner Bros. (CH)";"02/12/2010";"23 478";"4 128";"27 606"
"DE";"Warner Bros. (DE)";"02/12/2010";"603 442";"258 863";"862 305"
"EUR EU";"";"";"663 975";"272 818";"936 793"
"EUR OBS";"";"";"687 453";"276 946";"964 399"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2010"
" - film_id : 36455"
