"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin Film (AT)";"18/04/2019";"52 384";"";"52 384"
"BA";"2iFilm (BA)";"05/09/2019";"535";"";"535"
"BE";"Paradiso Filmed Entertainment";"12/08/2020";"";"2 302";"2 302"
"CH";"Presence Production (CH)";"18/04/2019";"17 780";"33";"17 813"
"DE";"Constantin Film (DE)";"18/04/2019";"802 722";"15 024";"817 746"
"DK";"FilmBazar";"06/08/2020";"";"1 630";"1 630"
"ES";"Flins y piniculas";"17/07/2020";"";"211";"211"
"FR";"";"";"";"378";"378"
"GR";"Danaos (GR)";"29/10/2020";"";"405";"405"
"HR";"2iFilm (HR)";"05/09/2019";"1 802";"";"1 802"
"LU";"";"";"2 402";"";"2 402"
"ME";"2iFilm (ME)";"";"61";"";"61"
"NL";"Paradiso Entertainment (NL)";"16/07/2020";"";"15 570";"15 570"
"NO";"Many More Films (NO)";"25/09/2020";"";"4 588";"4 588"
"PT";"Films4You";"02/09/2020";"";"1 557";"1 557"
"RU";"Kinoland (RU)";"01/01/2020";"";"3 800";"3 800"
"SI";"2iFilm (SI)";"05/09/2019";"271";"";"271"
"EUR EU";"";"";"859 581";"37 077";"896 658"
"EUR OBS";"";"";"877 957";"45 498";"923 455"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 84406"
