"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Warner Bros. (AT)";"25/12/2015";"31 505";"62 970";"";"";"";"";"";"94 475"
"CH";"Warner Bros. (CH)";"24/12/2015";"15 057";"34 888";"113";"";"";"";"";"50 058"
"DE";"Warner Bros. (DE)";"24/12/2015";"576 209";"1 386 852";"8 547";"1 885";"1 072";"710";"1 782";"1 975 275"
"HU";"Vertigo (HU)";"24/11/2016";"";"3 026";"880";"159";"127";"21";"148";"4 213"
"EUR EU";"";"";"607 714";"1 452 848";"9 427";"2 044";"1 199";"731";"1 930";"2 073 963"
"EUR OBS";"";"";"622 771";"1 487 736";"9 540";"2 044";"1 199";"731";"1 930";"2 124 021"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 64762"
