"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2015";"2016";"2018";"2020";"2009-2020";"Total since 2005"
"AT";"Filmladen";"09/06/2006";"";"14 168";"270";"355";"";"";"";"";"";"";"";"";"";"";"14 793"
"BE";"ABC Distribution";"13/09/2006";"";"11 217";"4 953";"40";"4";"";"";"";"168";"";"";"";"";"172";"16 382"
"CH";"Frenetic Films (CH)";"22/12/2005";"1 645";"21 869";"7 218";"";"";"";"34";"28";"";"31";"38";"";"";"131";"30 863"
"DE";"X-Verleih";"10/11/2005";"75 704";"115 844";"2 626";"";"";"";"";"";"";"179";"38";"95";"";"312";"194 486"
"DK";"Sunrise Film Distribution";"06/04/2007";"";"";"2 301";"";"";"";"";"";"";"";"";"";"";"";"2 301"
"ES";"Karma Films";"21/11/2006";"";"67 516";"56 883";"253";"";"70";"";"";"";"";"";"";"";"70";"124 722"
"FR";"Diaphana Distribution";"20/12/2006";"";"36 834";"214 402";"";"";"";"";"";"";"";"";"";"";"";"251 236"
"GB";"Thunderbird (GB)";"29/12/2006";"";"3 221";"4 945";"";"";"";"";"";"";"";"4";"";"";"4";"8 170"
"HU";"";"12/06/2008";"";"";"";"5 483";"";"";"";"";"";"";"";"";"";"";"5 483"
"IT";"Metacinema";"31/03/2006";"";"139 560";"813";"";"";"";"";"";"";"";"";"";"87";"87";"140 460"
"NL";"Cinemien";"14/09/2006";"";"30 391";"9 009";"193";"510";"";"120";"";"90";"";"97";"42";"";"859";"40 452"
"PL";"Gutek Film/Max Film";"02/02/2007";"";"";"71 437";"1 584";"";"";"";"";"";"";"";"";"";"";"73 021"
"PT";"Atalanta Filmes";"08/02/2007";"";"";"10 087";"23";"";"14";"";"";"";"";"";"";"";"14";"10 124"
"RO";"Clorofilm";"";"";"";"391";"";"";"";"";"";"";"";"";"";"";"";"391"
"EUR EU";"";"";"75 704";"418 751";"378 117";"7 931";"514";"84";"120";"";"258";"179";"139";"137";"87";"1 518";"882 021"
"EUR OBS";"";"";"77 349";"440 620";"385 335";"7 931";"514";"84";"154";"28";"258";"210";"177";"137";"87";"1 649";"912 884"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24260"
