"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Warner Bros. (AT)";"30/03/2018";"34 251";"";"";"34 251"
"CH";"Warner Bros. (CH)";"29/03/2018";"77 291";"98";"37";"77 426"
"CZ";"Bioscop (AQS)";"28/06/2018";"11 394";"687";"";"12 081"
"DE";"Warner Bros. (DE)";"29/03/2018";"1 813 006";"95 401";"15 181";"1 923 588"
"EE";"GPI (EE)";"11/05/2018";"1 919";"";"";"1 919"
"HU";"Vertigo (HU)";"21/06/2018";"7 202";"83";"";"7 285"
"IS";"Samfilm";"15/03/2019";"";"1 571";"";"1 571"
"LT";"Garsų pasaulio įrašai (LT)";"11/05/2018";"6 055";"";"";"6 055"
"LV";"Garsu Pasaulio irasai (LV)";"17/08/2018";"2 534";"";"";"2 534"
"NL";"Just Film Distribution";"29/08/2019";"";"4 248";"";"4 248"
"PL";"Kino Swiat";"29/06/2018";"100 156";"5 632";"";"105 788"
"PT";"NOS Lusomundo Audiovisuais (PT)";"25/07/2019";"";"2 510";"17";"2 527"
"RO";"Ro-Image 2000";"01/06/2018";"22 249";"132";"";"22 381"
"RU";"Capella Film (RU)";"28/06/2018";"38 897";"5 269";"";"44 166"
"SK";"Magic Box Slovakia";"28/06/2018";"2 418";"38";"10";"2 466"
"EUR EU";"";"";"2 001 184";"108 731";"15 208";"2 125 123"
"EUR OBS";"";"";"2 117 372";"115 669";"15 245";"2 248 286"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 78550"
