"Market";"Distributor";"Release date";"2007";"Total since 2007"
"AT";"Senator Film (AT)";"13/04/2007";"39 926";"39 926"
"DE";"Senator Film Verleih";"12/04/2007";"819 757";"819 757"
"EUR EU";"";"";"859 683";"859 683"
"EUR OBS";"";"";"859 683";"859 683"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007"
" - film_id : 28472"
