"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Sony Pictures (AT)";"19/01/2018";"122 956";"";"";"122 956"
"CH";"Sony Pictures (CH)";"18/01/2018";"26 017";"";"20";"26 037"
"DE";"Sony Pictures Releasing (DE)";"18/01/2018";"858 498";"1 424";"";"859 922"
"EE";"Estinfilm";"02/03/2018";"6 859";"";"";"6 859"
"LU";"";"";"6 594";"";"";"6 594"
"MK";"Goethe Institut (MK)";"";"29";"185";"17";"231"
"PL";"Bomba Film";"13/07/2018";"5 189";"6 531";"";"11 720"
"EUR EU";"";"";"1 000 096";"7 955";"";"1 008 051"
"EUR OBS";"";"";"1 026 142";"8 140";"37";"1 034 319"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79768"
