"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2013";"2014";"2019";"2005-2019";"Total since 2001"
"AT";"";"";"172 218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172 218"
"CH";"Warner Bros. (CH)";"04/10/2001";"128 099";"12 137";"";"";"";"12 308";"79";"61";"93";"";"165";"";"32";"89";"12 827";"153 063"
"DE";"Warner Bros. (DE)";"04/10/2001";"2 415 431";"279 090";"22 449";"25 821";"";"";"";"";"";"";"";"";"";"";"";"2 742 791"
"FR";"Gebeka Films";"08/12/2004";"";"";"";"84 893";"172 590";"29 602";"";"";"";"";"";"";"";"";"202 192";"287 085"
"GB";"";"";"";"";"156 931";"";"";"";"";"";"";"";"";"";"";"";"";"156 931"
"NL";"Warner Bros. (NL)";"17/04/2003";"";"";"120 810";"";"";"1 780";"483";"64";"678";"205";"378";"334";"";"";"3 922";"124 732"
"EUR EU";"";"";"2 587 649";"279 090";"300 190";"110 714";"172 590";"31 382";"483";"64";"678";"205";"378";"334";"";"";"206 114";"3 483 757"
"EUR OBS";"";"";"2 715 748";"291 227";"300 190";"110 714";"172 590";"43 690";"562";"125";"771";"205";"543";"334";"32";"89";"218 941";"3 636 820"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2014, 2013, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17886"
