"Market";"Distributor";"Release date";"2011";"2012";"2014";"Total since 2011"
"AT";"UIP (AT)";"16/12/2011";"30 847";"30 538";"";"61 385"
"BE";"UPI (BE)";"16/12/2011";"2 200";"";"";"2 200"
"CH";"UIP (CH)";"29/12/2011";"10 330";"28 259";"";"38 589"
"DE";"Universal Pictures (DE)";"15/12/2011";"1 059 197";"1 041 541";"84";"2 100 822"
"EUR EU";"";"";"1 092 244";"1 072 079";"84";"2 164 407"
"EUR OBS";"";"";"1 102 574";"1 100 338";"84";"2 202 996"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2012, 2011"
" - film_id : 38365"
