"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2014-2018";"Total since 2010"
"AT";"Constantin Film (AT)";"22/01/2010";"37 259";"193";"";"";"";"";"";"";"";"";"37 452"
"DE";"Constantin Film (DE)";"21/01/2010";"698 917";"793 476";"";"";"97";"35";"197";"45";"415";"789";"1 493 182"
"LT";"Skalvijos Kino Centras";"02/02/2013";"";"";"";"1 495";"800";"335";"1 194";"946";"";"3 275";"4 770"
"PT";"";"";"";"";"88";"";"";"";"";"";"";"";"88"
"EUR EU";"";"";"736 176";"793 669";"88";"1 495";"897";"370";"1 391";"991";"415";"4 064";"1 535 492"
"EUR OBS";"";"";"736 176";"793 669";"88";"1 495";"897";"370";"1 391";"991";"415";"4 064";"1 535 492"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35772"
