"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2014";"2018";"2014-2018";"Total since 2008"
"AT";"Warner Bros. (AT)";"25/12/2008";"12 548";"23 054";"";"";"";"";"";"35 602"
"BE";"ABC Distribution";"30/09/2009";"";"2 641";"318";"";"128";"";"128";"3 087"
"CH";"Warner Bros. (CH)";"25/12/2008";"17 640";"53 061";"";"";"";"";"";"70 701"
"DE";"Warner Bros. (DE)";"25/12/2008";"354 347";"864 133";"";"";"";"";"";"1 218 480"
"NL";"Cinemien";"09/04/2009";"";"14 126";"94";"172";"";"83";"83";"14 475"
"PL";"Gutek Film/Best Film";"20/08/2010";"";"";"11 703";"923";"";"";"";"12 626"
"RU";"CMF";"21/01/2010";"";"";"1 044";"";"";"";"";"1 044"
"EUR EU";"";"";"366 895";"903 954";"12 115";"1 095";"128";"83";"211";"1 284 270"
"EUR OBS";"";"";"384 535";"957 015";"13 159";"1 095";"128";"83";"211";"1 356 015"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2014, 2011, 2010, 2009, 2008"
" - film_id : 30506"
