"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin/Studiocanal";"27/09/2018";"20 853";"425";"";"21 278"
"BE";"Cineart (BE)";"17/04/2019";"";"12 253";"89";"12 342"
"CH";"Temporary Import Filme";"";"";"";"40";"40"
"CZ";"CinemArt (CZ)";"15/11/2018";"4 182";"6 220";"691";"11 093"
"DE";"StudioCanal (DE)";"27/09/2018";"758 910";"164 766";"12 276";"935 952"
"DK";"Another World Entertainment APS";"07/11/2019";"";"12 958";"";"12 958"
"ES";"Avalon Distribucion Audiovisual";"06/09/2019";"";"29 328";"";"29 328"
"FI";"Future Film";"16/08/2019";"";"10 384";"143";"10 527"
"FR";"ARP Sélection";"10/04/2019";"";"181 116";"12 001";"193 117"
"GB";"StudioCanal (GB)";"14/06/2019";"";"6 705";"497";"7 202"
"HU";"Cinetel";"25/04/2019";"";"6 067";"888";"6 955"
"LU";"Cineart (LU)";"17/04/2019";"";"1 350";"";"1 350"
"NL";"Cinéart Nederland";"18/07/2019";"";"43 663";"588";"44 251"
"NO";"Another World Entertainment";"25/12/2019";"";"7 304";"14 041";"21 345"
"PL";"Filmowa Warszawa";"12/06/2020";"";"";"5 330";"5 330"
"SE";"Studio S Entertainment";"16/08/2019";"";"29 576";"";"29 576"
"SK";"CinemaArt (SK)";"15/11/2018";"1 438";"469";"21";"1 928"
"EUR EU";"";"";"785 383";"505 280";"32 524";"1 323 187"
"EUR OBS";"";"";"785 383";"512 584";"46 605";"1 344 572"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 78559"
