"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin Film (AT)";"19/12/2014";"50 937";"51 361";"";"";"";"";"";"";"102 298"
"BA";"Blitz Film & Video Distribution (BA)";"28/05/2015";"";"2 163";"";"";"";"";"";"";"2 163"
"CH";"Impuls Pictures";"18/12/2014";"10 654";"21 831";"48";"";"43";"";"";"43";"32 576"
"CZ";"Mirius FD";"06/08/2015";"";"9 206";"824";"663";"";"861";"";"861";"11 554"
"DE";"LEONINE Distribution GmbH";"18/12/2014";"349 687";"464 738";"4 040";"2 136";"1 324";"2 532";"7 282";"11 138";"831 739"
"EE";"Estinfilm";"01/01/2016";"";"";"9 002";"";"";"";"";"";"9 002"
"ES";"Paycom Multimedia";"11/12/2015";"";"3 481";"6 344";"1 101";"";"";"";"";"10 926"
"HR";"Blitz Film & Video Distribution (HR)";"25/05/2015";"";"12 762";"";"";"";"";"";"";"12 762"
"HU";"ADS";"22/10/2015";"";"7 089";"323";"";"";"";"";"";"7 412"
"IT";"Notorious Pictures";"01/06/2017";"";"";"";"65 287";"1 370";"187";"";"1 557";"66 844"
"LT";"Best Film (LT)";"17/07/2015";"";"5 955";"";"";"";"";"";"";"5 955"
"ME";"";"";"";"443";"443";"";"";"";"";"";"886"
"PL";"Monolith";"24/07/2015";"";"106 885";"1 838";"6";"";"";"";"";"108 729"
"RO";"Ro-Image 2000";"13/05/2015";"";"28 983";"876";"";"81";"";"";"81";"29 940"
"RU";"Cinema Prestige";"30/07/2015";"";"60 208";"";"";"491";"";"";"491";"60 699"
"SI";"Blitz Film & Video Distribution (SI)";"01/10/2015";"";"3 568";"157";"";"";"";"";"";"3 725"
"SK";"Itafilm";"30/07/2015";"";"12 212";"658";"53";"10";"62";"";"72";"12 995"
"TR";"Bir Film";"13/03/2015";"";"80 212";"3 849";"975";"997";"604";"";"1 601";"86 637"
"EUR EU";"";"";"400 624";"706 240";"24 062";"69 246";"2 785";"3 642";"7 282";"13 709";"1 213 881"
"EUR OBS";"";"";"411 278";"871 097";"28 402";"70 221";"4 316";"4 246";"7 282";"15 844";"1 396 842"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48899"
