"Market";"Distributor";"Release date";"2012";"2014";"2016";"2017";"Total since 2012"
"AT";"UIP (AT)";"17/05/2012";"82 630";"";"";"";"82 630"
"BE";"UIP (BE)";"18/05/2012";"4 681";"";"";"";"4 681"
"CH";"Universal Pictures (CH)";"17/05/2012";"38 457";"";"";"79";"38 536"
"DE";"Universal Pictures (DE)";"17/05/2012";"853 578";"419";"18";"";"854 015"
"NL";"Just Film Distribution";"12/07/2012";"22 050";"";"";"";"22 050"
"EUR EU";"";"";"962 939";"419";"18";"";"963 376"
"EUR OBS";"";"";"1 001 396";"419";"18";"79";"1 001 912"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2014, 2012"
" - film_id : 40858"
