"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"Total since 2012"
"AT";"Sony Pictures (AT)";"28/12/2012";"29 431";"52 628";"";"";"";"82 059"
"DE";"Sony Pictures Releasing (DE)";"27/12/2012";"216 009";"688 829";"1 202";"";"";"906 040"
"EE";"Estinfilm";"26/07/2013";"";"400";"";"";"";"400"
"NL";"Just Film Distribution";"08/08/2013";"";"25 890";"40";"";"6";"25 936"
"PL";"Vivarto";"24/10/2014";"";"";"5 133";"3 129";"1 441";"9 703"
"RU";"Exponenta";"31/10/2013";"";"13 845";"";"";"";"13 845"
"TR";"UIP (TR)";"20/09/2013";"";"7 304";"";"";"";"7 304"
"EUR EU";"";"";"245 440";"767 747";"6 375";"3 129";"1 447";"1 024 138"
"EUR OBS";"";"";"245 440";"788 896";"6 375";"3 129";"1 447";"1 045 287"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2012"
" - film_id : 40908"
