"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2014";"2018";"2014-2018";"Total since 2005"
"AT";"Buena Vista (AT)";"07/04/2005";"110 251";"";"";"";"";"";"";"110 251"
"CH";"Walt Disney (CH)";"31/03/2005";"81 126";"";"";"19";"38";"";"38";"81 183"
"CZ";"Palace Pictures (CZ)";"27/04/2006";"";"2 156";"54";"";"";"";"";"2 210"
"DE";"Walt Disney Studios (DE)";"31/03/2005";"1 506 534";"";"";"";"127";"1 127";"1 254";"1 507 788"
"HU";"Budapestfilm";"25/08/2005";"7 039";"";"";"";"";"";"";"7 039"
"LV";"Acme (LV)";"15/12/2006";"";"334";"";"";"";"";"";"334"
"RO";"Romaniafilm-Prorom";"18/11/2005";"1 101";"1 528";"21";"";"";"";"";"2 650"
"SI";"Cinemania Group";"29/06/2006";"";"1 691";"";"";"";"";"";"1 691"
"SK";"Palace Pictures (SK)";"13/07/2006";"";"1 602";"";"";"";"";"";"1 602"
"EUR EU";"";"";"1 624 925";"7 311";"75";"";"127";"1 127";"1 254";"1 633 565"
"EUR OBS";"";"";"1 706 051";"7 311";"75";"19";"165";"1 127";"1 292";"1 714 748"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2014, 2008, 2007, 2006, 2005"
" - film_id : 24239"
