"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin (AT)";"02/03/2018";"54 788";"";"";"54 788"
"BA";"Blitz Film & Video Distribution (BA)";"01/03/2018";"11 980";"";"";"11 980"
"BE";"Kinepolis Film Distribution (BE)";"19/12/2018";"30 080";"29 510";"";"59 590"
"BG";"BS Films (BG)";"20/04/2018";"29 808";"";"";"29 808"
"CH";"Impuls Pictures";"01/03/2018";"19 877";"116";"";"19 993"
"CZ";"Vertical Entertainment (CZ)";"08/03/2018";"30 259";"589";"";"30 848"
"DE";"LEONINE Distribution GmbH";"01/03/2018";"327 942";"1 250";"116";"329 308"
"DK";"UIP (DK)";"26/07/2018";"15 290";"";"";"15 290"
"EE";"Tespi (EE)";"08/06/2018";"5 854";"";"";"5 854"
"ES";"Flins y piniculas";"09/02/2018";"85 111";"52";"";"85 163"
"FI";"Future Film (FI)";"29/06/2018";"24 781";"250";"";"25 031"
"FR";"Paramount Pictures (FR)";"18/07/2018";"270 404";"";"";"270 404"
"GB";"Signature Entertainment";"06/04/2018";"6 459";"";"";"6 459"
"HR";"Blitz Film & Video Distribution (HR)";"01/03/2018";"58 582";"";"";"58 582"
"HU";"Vertical Entertainment (HU)";"29/03/2018";"11 504";"";"";"11 504"
"IT";"Koch Media (IT)";"18/10/2018";"70 922";"2 581";"";"73 503"
"LT";"Garsų pasaulio įrašai (LT)";"09/03/2018";"12 971";"";"";"12 971"
"LU";"";"";"3 538";"";"";"3 538"
"LV";"Garsu Pasaulio irasai (LV)";"13/04/2018";"2 567";"";"";"2 567"
"ME";"";"";"2 122";"";"";"2 122"
"MK";"Blitz Film (MK)";"";"1 826";"";"";"1 826"
"NL";"Splendid Film (NL)";"13/02/2019";"";"54 530";"";"54 530"
"NO";"KontxtFilm";"22/06/2018";"14 043";"165";"";"14 208"
"PL";"Monolith";"02/02/2018";"443 697";"4 113";"";"447 810"
"PT";"Films4You";"08/02/2018";"13 980";"3";"52";"14 035"
"RO";"Vertical Ent. (RO)";"06/04/2018";"27 873";"";"";"27 873"
"RU";"Pioneer Film (RU)";"17/05/2018";"131 332";"3 012";"";"134 344"
"SE";"Noble Entertainment";"29/06/2018";"26 932";"";"";"26 932"
"SI";"Blitz Film & Video Distribution (SI)";"01/03/2018";"29 756";"";"";"29 756"
"SK";"Forum Film Slovakia";"01/03/2018";"32 062";"123";"";"32 185"
"TR";"UIP (TR)";"07/09/2018";"123 803";"2 814";"";"126 617"
"EUR EU";"";"";"1 615 160";"93 001";"168";"1 708 329"
"EUR OBS";"";"";"1 920 143";"99 108";"168";"2 019 419"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77706"
