"Market";"Distributor";"Release date";"2009";"2011";"2015";"2017";"2018";"Total since 2009"
"AT";"Constantin Film (AT)";"30/01/2009";"65 092";"";"";"";"";"65 092"
"CH";"Pathé Films (CH)";"29/01/2009";"22 901";"";"";"";"29";"22 930"
"DE";"Constantin Film (DE)";"29/01/2009";"995 864";"";"21";"20";"";"995 905"
"RO";"Clorofilm";"22/04/2011";"";"1 680";"";"";"";"1 680"
"EUR EU";"";"";"1 060 956";"1 680";"21";"20";"";"1 062 677"
"EUR OBS";"";"";"1 083 857";"1 680";"21";"20";"29";"1 085 607"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2015, 2011, 2009"
" - film_id : 33530"
