"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"Total since 2002"
"AT";"";"";"90 254";"";"";"";"";"90 254"
"CH";"";"";"20 315";"";"";"";"";"20 315"
"CZ";"Bioscop (AQS)";"13/03/2003";"";"116 069";"234";"66";"";"116 369"
"DE";"Constantin Film (DE)";"14/03/2002";"1 008 268";"";"";"";"";"1 008 268"
"HU";"";"";"124 626";"12 078";"84";"";"";"136 788"
"IT";"Mediafilm";"04/08/2006";"";"";"";"";"69 804";"69 804"
"PL";"Monolith";"01/08/2003";"";"4 480";"22";"";"";"4 502"
"SK";"Continental Film (SK)";"26/06/2003";"";"24 654";"48";"";"";"24 702"
"EUR EU";"";"";"1 223 148";"157 281";"388";"66";"69 804";"1 450 687"
"EUR OBS";"";"";"1 243 463";"157 281";"388";"66";"69 804";"1 471 002"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2006, 2005, 2004, 2003, 2002"
" - film_id : 18803"
