"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2015";"2016";"2017";"2012-2017";"Total since 2008"
"AT";"Constantin Film (AT)";"01/05/2008";"23 758";"160";"";"";"";"";"";"";"";"";"23 918"
"CH";"Pathé Films (CH)";"30/04/2008";"7 581";"";"";"";"";"";"";"";"";"";"7 581"
"DE";"Constantin Film (DE)";"01/05/2008";"418 842";"";"";"";"";"";"451";"237";"36";"724";"419 566"
"FR";"Océan Films";"08/04/2009";"206 396";"103 222";"";"";"";"";"";"";"";"";"309 618"
"HR";"Blitz Film & Video Distribution (HR)";"12/02/2009";"";"21 842";"";"";"";"";"";"";"";"";"21 842"
"IT";"Mediafilm";"27/02/2009";"";"36 478";"525";"";"";"";"";"";"";"";"37 003"
"PL";"Monolith";"27/02/2009";"";"135 823";"1 584";"654";"";"";"";"";"";"";"138 061"
"PT";"ZON Lusomundo Audiovisuais";"04/10/2012";"";"";"";"";"12 580";"887";"";"";"";"13 467";"13 467"
"TR";"Tiglon";"17/10/2008";"71 625";"9 864";"6 692";"2 404";"8 651";"3 754";"";"";"";"12 405";"102 990"
"EUR EU";"";"";"648 996";"297 525";"2 109";"654";"12 580";"887";"451";"237";"36";"14 191";"963 475"
"EUR OBS";"";"";"728 202";"307 389";"8 801";"3 058";"21 231";"4 641";"451";"237";"36";"26 596";"1 074 046"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30151"
