Market;Distributor;Release date;2000;Total since 2000
AT;;;46 147;46 147
DE;;;1 235 980;1 235 980
EUR EU;;;1 282 127;1 282 127
EUR OBS;;;1 282 127;1 282 127
;;;;
Film Information - Admissions;;;;
 - source_country_ids : _All;;;;
 - admission_years : 2000;;;;
 - film_id : 15475;;;;
