"Market";"Distributor";"Release date";"2006";"2007";"2015";"2016";"2018";"2020";"2018-2020";"Total since 2006"
"AT";"Constantin Film (AT)";"17/11/2006";"20 030";"256";"";"";"";"";"";"20 286"
"CH";"Monopole Pathé Films";"16/11/2006";"9 772";"39";"";"";"";"";"";"9 811"
"DE";"Senator Film Verleih";"16/11/2006";"781 462";"62 055";"203";"34";"12";"12";"24";"843 778"
"RU";"Self Distribution (RU)";"22/11/2018";"";"";"";"";"2 613";"";"2 613";"2 613"
"EUR EU";"";"";"801 492";"62 311";"203";"34";"12";"12";"24";"864 064"
"EUR OBS";"";"";"811 264";"62 350";"203";"34";"2 625";"12";"2 637";"876 488"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2015, 2007, 2006"
" - film_id : 26061"
