"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Constantin Film (AT)";"14/03/2008";"154 179";"1 444";"135";"181";"";"";"";"";"";"";"";"";"";"";"155 939"
"BE";"Paradiso Filmed Entertainment";"22/10/2008";"6 720";"13 918";"13 638";"5 155";"";"";"";"";"287";"542";"810";"451";"217";"2 307";"41 738"
"CH";"Rialto Film (CH)";"01/05/2008";"69 219";"7 808";"83";"151";"";"54";"8";"";"34";"";"";"";"";"96";"77 357"
"CZ";"Film Europe (CZ)";"01/05/2008";"14 846";"4 397";"4 180";"1 289";"";"83";"337";"";"";"";"";"";"";"420";"25 132"
"DE";"Constantin Film (DE)";"13/03/2008";"2 635 264";"37 165";"";"";"";"";"3 149";"2 027";"1 702";"2 181";"1 261";"1 178";"398";"11 896";"2 684 325"
"DK";"Miracle Film";"12/09/2008";"15 367";"2 526";"62";"";"";"";"";"";"";"";"";"";"";"";"17 955"
"ES";"Aurum Producciones";"28/11/2008";"149 271";"75 464";"1 645";"106";"140";"";"";"";"";"";"";"";"";"140";"226 626"
"FR";"Societe d’Exploitation des Films Majestic (FR)";"04/03/2009";"";"282 193";"16 817";"4 566";"";"";"";"";"";"";"";"";"920";"920";"304 496"
"GB";"Momentum Pictures (GB)";"19/09/2008";"24 077";"1 090";"";"";"";"";"";"";"333";"";"";"";"";"333";"25 500"
"GR";"Seven Films";"13/11/2008";"52 307";"";"1 659";"686";"";"";"";"";"";"";"";"";"";"";"54 652"
"HU";"SPI Hungary";"02/10/2008";"16 911";"";"";"";"";"";"";"";"";"";"";"";"";"";"16 911"
"IT";"Bim Distribuzione";"27/02/2009";"";"95 712";"3 072";"1 584";"1 115";"606";"53";"83";"";"";"125";"440";"";"2 422";"102 790"
"LI";"";"08/05/2008";"560";"";"";"";"";"";"";"";"";"";"";"";"";"";"560"
"NL";"Paradiso Entertainment (NL)";"27/11/2008";"3 649";"3 965";"829";"105";"";"";"125";"";"";"";"78";"";"";"203";"8 751"
"PL";"SPInka";"26/09/2008";"4 782";"1 444";"";"";"";"";"";"";"";"";"";"";"";"";"6 226"
"PT";"Pris Audiovisuais";"08/01/2009";"";"6 192";"";"";"";"";"35";"";"";"";"";"";"";"35";"6 227"
"SE";"Atlantic Film (SE)";"05/12/2008";"7 083";"2 620";"115";"71";"34";"";"42";"";"";"";"";"";"";"76";"9 965"
"SK";"Film Europe (SK)";"30/10/2008";"8 204";"4 466";"974";"264";"36";"";"";"";"";"";"";"";"";"36";"13 944"
"TR";"Umut Sanat";"09/05/2008";"13 486";"13";"198";"198";"";"";"";"";"";"";"";"";"";"";"13 895"
"EUR EU";"";"";"3 092 660";"532 596";"43 126";"14 007";"1 325";"689";"3 741";"2 110";"2 322";"2 723";"2 274";"2 069";"1 535";"18 788";"3 701 177"
"EUR OBS";"";"";"3 175 925";"540 417";"43 407";"14 356";"1 325";"743";"3 749";"2 110";"2 356";"2 723";"2 274";"2 069";"1 535";"18 884";"3 792 989"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30493"
