"Market";"Distributor";"Release date";"2007";"2008";"2012";"2014";"Total since 2007"
"AT";"Walt Disney (AT)";"08/11/2007";"45 278";"2 960";"";"";"48 238"
"CH";"Walt Disney (CH)";"08/11/2007";"40 444";"1 464";"71";"";"41 979"
"DE";"Walt Disney Studios (DE)";"08/11/2007";"837 834";"102 671";"";"105";"940 610"
"EUR EU";"";"";"883 112";"105 631";"";"105";"988 848"
"EUR OBS";"";"";"923 556";"107 095";"71";"105";"1 030 827"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2012, 2008, 2007"
" - film_id : 28408"
