"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2014";"2017";"2019";"2008-2019";"Total since 2004"
"AT";"Warner Bros. (AT)";"24/09/2004";"98 930";"5 696";"";"";"";"";"";"";"";"";"104 626"
"CH";"Warner Bros. (CH)";"23/09/2004";"68 384";"";"";"100";"45";"";"";"12";"";"57";"68 541"
"DE";"Warner Bros. (DE)";"23/09/2004";"1 289 289";"59 013";"";"4 880";"";"";"";"";"";"";"1 353 182"
"FR";"Gebeka Films";"19/10/2005";"";"104 354";"39 369";"20 680";"";"";"";"";"";"";"164 403"
"GB";"Warner Bros. (GB)";"11/02/2005";"";"109 490";"";"";"";"";"22";"33";"";"55";"109 545"
"IT";"Warner Bros. (IT)";"22/04/2005";"";"36 805";"3 723";"508";"";"";"";"";"128";"128";"41 164"
"NL";"Warner Bros. (NL)";"05/10/2005";"";"32 176";"192";"";"187";"5";"";"";"";"192";"32 560"
"EUR EU";"";"";"1 388 219";"347 534";"43 284";"26 068";"187";"5";"22";"33";"128";"375";"1 805 480"
"EUR OBS";"";"";"1 456 603";"347 534";"43 284";"26 168";"232";"5";"22";"45";"128";"432";"1 874 021"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2014, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21930"
