"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Centfox";"28/11/2008";"38 252";"3 072";"";"";"";"";"";"";"";"";"";"";"";"";"41 324"
"BE";"Jekino Distributie (BE)";"27/01/2010";"";"";"4 252";"4 945";"";"";"";"";"210";"";"";"";"";"210";"9 407"
"CH";"Filmcoopi Zürich";"30/10/2008";"26 316";"1 754";"";"";"";"";"";"";"";"";"";"";"";"";"28 070"
"DE";"Croco Film Verleih";"09/10/2008";"1 365 796";"101 017";"14 940";"";"";"";"2 754";"1 691";"1 954";"1 323";"158";"795";"60";"8 735";"1 490 488"
"ES";"Flins y piniculas";"29/01/2010";"";"";"29 064";"151";"";"";"";"";"";"";"";"";"";"";"29 215"
"NL";"Twin Film";"17/12/2009";"";"1 627";"3 345";"125";"23";"45";"";"";"";"";"";"";"";"68";"5 165"
"PT";"";"";"";"";"";"30";"";"";"";"";"";"";"";"";"";"";"30"
"EUR EU";"";"";"1 404 048";"105 716";"51 601";"5 251";"23";"45";"2 754";"1 691";"2 164";"1 323";"158";"795";"60";"9 013";"1 575 629"
"EUR OBS";"";"";"1 430 364";"107 470";"51 601";"5 251";"23";"45";"2 754";"1 691";"2 164";"1 323";"158";"795";"60";"9 013";"1 603 699"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30495"
