"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2017-2018";"Total since 2013"
"AT";"Luna Film";"23/08/2013";"111 087";"";"";"";"";"";"";"111 087"
"CH";"Filmcoopi Zürich";"29/08/2013";"28 685";"";"";"";"";"";"";"28 685"
"CZ";"Aerofilms";"21/11/2013";"2 386";"1 481";"25";"2";"";"10";"10";"3 904"
"DE";"Majestic Filmverleih";"22/08/2013";"945 128";"2 502";"49";"";"8";"";"8";"947 687"
"DK";"Mis Label";"10/04/2014";"";"574";"";"";"";"";"";"574"
"FI";"Future Film (FI)";"09/05/2014";"";"882";"";"";"";"";"";"882"
"HU";"Cirko Film";"05/06/2014";"";"1 380";"";"";"";"";"";"1 380"
"NL";"Contact Film Cinematheek";"10/04/2014";"";"2 940";"";"";"";"";"";"2 940"
"NO";"Tour de Force";"21/11/2014";"";"340";"61";"";"";"";"";"401"
"PL";"Against Gravity";"06/06/2014";"";"3 809";"";"";"";"";"";"3 809"
"SE";"Studio Scoop";"21/03/2014";"";"581";"";"4";"";"";"";"585"
"SI";"Fivia";"21/11/2013";"754";"229";"";"";"";"";"";"983"
"SK";"ASFK";"05/06/2014";"";"822";"170";"";"";"";"";"992"
"EUR EU";"";"";"1 059 355";"15 200";"244";"6";"8";"10";"18";"1 074 823"
"EUR OBS";"";"";"1 088 040";"15 540";"305";"6";"8";"10";"18";"1 103 909"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44605"
