"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Fox Int'l (AT)";"25/05/2018";"44 330";"";"";"44 330"
"BA";"Una Film";"19/07/2018";"3 847";"";"";"3 847"
"BE";"Kinepolis Film Distribution (BE)";"19/09/2018";"40 013";"258";"";"40 271"
"BG";"Pro Films (BG)";"26/10/2018";"21 588";"1 489";"";"23 077"
"CH";"Praesens Film";"09/05/2018";"20 807";"28";"";"20 835"
"CY";"DJK Group (CY)";"";"2 958";"";"";"2 958"
"CZ";"Bontonfilm";"14/06/2018";"60 093";"3 157";"69";"63 319"
"DE";"Majestic Filmverleih";"24/05/2018";"272 453";"1 541";"";"273 994"
"DK";"SF Studios (DK)";"07/06/2018";"26 603";"";"";"26 603"
"EE";"GPI (EE)";"02/11/2018";"5 627";"";"";"5 627"
"ES";"Flins y piniculas";"24/06/2018";"167 886";"874";"";"168 760"
"FR";"ARP Sélection";"09/05/2018";"227 908";"543";"";"228 451"
"GB";"Warner Bros. (GB)";"24/08/2018";"127 614";"14 080";"";"141 694"
"GR";"Seven Films";"13/09/2018";"7 839";"";"";"7 839"
"HR";"Editus (HR)";"01/01/2018";"17 996";"";"65";"18 061"
"HU";"Big Bang Media";"09/08/2018";"28 055";"25";"";"28 080"
"IT";"Koch Media (IT)";"11/07/2018";"144 641";"703";"";"145 344"
"LT";"Garsų pasaulio įrašai (LT)";"17/08/2018";"10 837";"";"";"10 837"
"LU";"";"";"1 934";"112";"";"2 046"
"LV";"Garsu Pasaulio irasai (LV)";"07/09/2018";"5 091";"";"";"5 091"
"ME";"Taramount film (ME)";"";"943";"14";"";"957"
"MK";"Premium Film (MK)";"";"1 523";"";"";"1 523"
"NL";"Dutch Film Works (Source Investments)";"16/08/2018";"22 661";"12";"";"22 673"
"PL";"Kino Swiat";"06/04/2018";"133 852";"2 410";"";"136 262"
"PT";"NOS Lusomundo Audiovisuais (PT)";"23/08/2018";"32 956";"229";"";"33 185"
"RO";"Ro-Image 2000";"04/09/2018";"32 672";"146";"66";"32 884"
"RU";"Nashe Kino";"04/10/2018";"580 778";"5 101";"";"585 879"
"SI";"Karantanija Cinemas";"25/10/2018";"26 753";"260";"";"27 013"
"SK";"Bontonfilm (SK)";"14/06/2018";"31 841";"766";"";"32 607"
"TR";"CGV Mars Dagitim (TR)";"02/08/2019";"";"48 548";"5 075";"53 623"
"EUR EU";"";"";"1 494 201";"26 605";"200";"1 521 006"
"EUR OBS";"";"";"2 102 099";"80 296";"5 275";"2 187 670"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77677"
